"","city_eng_name","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","avg_temp","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_outside_10lower","win7_gathering_outside_10over","stay_at_home","school_close","childcare_close","shop_close","restaurant_close","bar_close","entertainment_close","cultural_close","sports_indoor_close","sports_outdoor_close","gathering_outside_10lower","gathering_outside_10over","cv"
"1","Duval,Florida","Florida","2020-04-14",0.786033455436158,0.0503206355784593,75.5,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,0.5,1,1,0.0640184399664479
"2","Hillsborough,Florida","Florida","2020-04-14",0.807528800101255,0.0511750583621098,82,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,0.5,1,1,0.0633724250524477
"3","Miami-Dade,Florida","Florida","2020-04-14",1.05421244138393,0.0185435321345464,85,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,0.5,1,1,0.0175899386182572
"4","Orange,Florida","Florida","2020-04-14",0.685586242161056,0.0399163742553939,84.5,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,0.5,1,1,0.0582222509739582
"5","Pinellas,Florida","Florida","2020-04-14",0.618940793382384,0.0536689732487034,84,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,0.5,1,1,0.0867109969524121
"6","St. Lucie,Florida","Florida","2020-04-14",0.870721165114022,0.107178366441147,83,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,0.5,1,1,0.123091490979333
"7","Ada,Idaho","Idaho","2020-03-13",NA,5,42.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"8","Ada,Idaho","Idaho","2020-03-14",NA,7.07106781186548,45.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.707106781186548
"9","Ada,Idaho","Idaho","2020-03-15",NA,8.60577606513792,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.577350269189628
"10","Ada,Idaho","Idaho","2020-03-16",NA,7.78269985494047,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.577350269189627
"11","Ada,Idaho","Idaho","2020-03-17",NA,6.55220308726806,50.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.500000000000001
"12","Ada,Idaho","Idaho","2020-03-18",NA,4.22899874491409,42.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5
"13","Ada,Idaho","Idaho","2020-03-19",NA,2.76266259782818,43.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.500000000000001
"14","Ada,Idaho","Idaho","2020-03-20",NA,2.86933644149965,49.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
