"","intervention","effect_average","se_effect_average","size"
"1","Stay-at-home",-0.00936987953338287,0.0997534777342955,376
"2","School+childcare closure",0.35557885565053,0.0451786671147229,567
"3","Office closure",0.0577802823797989,0.0959643972515997,869
"4","Non-essential retail closure",-0.118114987453222,0.134381870085807,1407
"5","Restaurant closure",-0.0523041804662197,0.115643896270395,948
"6","Bar closure",-0.00391508659660801,0.119525419454502,795
"7","Entertainment venue closure",0.0480163573784459,0.174347815427418,819
"8","Cultural venue closure",-0.175003236182575,0.166150564386224,1281
"9","Religious place closure",0.0603790886410759,0.300307360896184,591
"10","Indoor sports closure",0.0811661086734597,0.227024272765921,1194
"11","Outdoor sports closure",-0.042176070249601,0.0844551011476711,72
"12","No gathering <=10 (indoor+outdoor)",-0.0529412369622608,0.0141636466087443,357
"13","No gathering >10 (indoor+outdoor)",-0.0858412897224223,0.0115053559661756,399
