"","intervention","effect_average","se_effect_average","size"
"1","Stay-at-home",-0.0726937362412777,0.31965985054653,250
"2","School closure",0.112664788389552,0.23729495570649,272
"3","Childcare closure",-0.36075503922564,0.467671650625063,469
"4","Non-essential retail closure",0.0778659509835296,0.170869770315035,1392
"5","Restaurant closure",0.0768083995860879,0.19957549272843,1197
"6","Entertainment venue closure",0.701129656806672,0.421005411354482,1394
"7","Indoor sports closure",0.131847904589008,0.126018961370809,544
"8","Outdoor sports closure",0.242634479350113,0.156716884164766,682
"9","No outdoor gathering <=10",0.0339981039950433,0.052245465517018,1333
"10","No outdoor gathering >10",-0.0586826666303544,0.270010774306014,124
"11","No indoor gathering <=10",0.0392932805632163,0.0778784629331845,1392
"12","No indoor gathering >10",0.167629193068543,0.122209008709645,893
