,intervention,effect_08,se_effect_08,ci_08_0.95,ci_08_0.5,effect_add,se_effect_add,ci_add_0.95,ci_add_0.5
1,Stay-at-home,-0.0726937362412777,0.31965985054653,1.2530666141424,0.42195100272142,-0.0631718962025687,0.48693549799615,1.90878715214491,0.642754857354918
2,School closure,0.112664788389552,0.23729495570649,0.930196226369441,0.313229341532567,0.112687545513536,0.333365317784218,1.30679204571413,0.440042219475168
3,Childcare closure,-0.36075503922564,0.467671650625063,1.83327287045025,0.617326578825083,-0.363194559702524,0.544276503772532,2.13356389478833,0.718444984979742
4,Non-essential retail closure,0.0778659509835296,0.170869770315035,0.669809499634937,0.225548096815846,0.168754491829245,0.186569744825673,0.731353399716638,0.246272063169888
5,Restaurant closure,0.0768083995860879,0.19957549272843,0.782335931495446,0.263439650401528,0.0712264882805208,0.150048755693162,0.588191122317195,0.198064357514974
6,Entertainment venue closure,0.701129656806672,0.421005411354482,1.65034121250957,0.555727142987916,0.703769051421037,0.456625061768987,1.78997024213443,0.602745081535063
7,Indoor sports closure,0.131847904589008,0.126018961370809,0.493994328573571,0.166345029009468,0.131942958922435,0.168563444973143,0.66076870429472,0.222503747364549
8,Outdoor sports closure,0.242634479350113,0.156716884164766,0.614330185925883,0.206866287097491,0.236554690559836,0.12476041853064,0.489060840640109,0.164683752460445
9,No outdoor gathering <=10,0.0339981039950433,0.052245465517018,0.204802224826711,0.0689640144824638,0.0352685862312132,0.051123169705831,0.200402825246858,0.0674825840116969
10,No outdoor gathering >10,-0.0586826666303544,0.270010774306014,1.05844223527957,0.356414222083939,-0.0586826666303544,0.220736725099466,0.865287962389907,0.291372477131295
11,No indoor gathering <=10,0.0392932805632163,0.0778784629331845,0.305283574698083,0.102799571071804,0.0395606929008006,0.0712852491777932,0.279438176776949,0.094096528914687
12,No indoor gathering >10,0.167629193068543,0.122209008709645,0.479059314141808,0.161315891496731,0.167375827276314,0.10714854629235,0.420022301466012,0.141436081105902
