,intervention,effect_08,se_effect_08,ci_08_0.95,ci_08_0.5,effect_add,se_effect_add,ci_add_0.95,ci_add_0.5
1,Stay-at-home,-0.0612645545372113,0.0879596325983205,0.344801759785416,0.116106715029783,-0.06988735888988,0.0875365488135409,0.34314327134908,0.115548244433874
2,School closure,-0.0407745211635838,0.205546228010027,0.805741213799306,0.271321020973236,-0.0551771104776222,0.164317958850483,0.644126398693893,0.216899705682638
3,Childcare closure,0.211899736936735,0.177394732450983,0.695387351207853,0.234161046835298,0.213283589478725,0.208731265806462,0.818226561961331,0.27552527086453
4,Non-essential retail closure,0.111020972961056,0.124140918133539,0.486632399083473,0.163866011936271,0.111551504508504,0.10334176443996,0.405099716604643,0.136411129060747
5,Restaurant closure,0.0544534009513378,0.186638053974018,0.731621171578151,0.246362231245704,0.0500994314594759,0.153599040289533,0.602108237934969,0.202750733182184
6,Bar closure,-0.0358343861882301,0.195276310606809,0.765483137578691,0.257764730000988,-0.0450194866227684,0.235232494316865,0.922111377722111,0.310506892498262
7,Entertainment venue closure,-0.00624764114134791,0.164197173491458,0.643652920086515,0.216740269008725,-0.0128766357594471,0.200416177238899,0.785631414776484,0.264549353955347
8,Cultural venue closure,-0.0590686372345553,0.143447535747184,0.562314340128961,0.189350747186283,-0.0690357947929911,0.12420640266957,0.486889098464714,0.163952451523832
9,Religious place closure,0.260066805383753,0.206223901890014,0.808397695408855,0.272215550494818,0.26677107459375,0.265614277336973,1.04120796716093,0.350610846084804
10,Indoor sports closure,-0.0355434537828402,0.149907996851677,0.587639347658574,0.197878555844214,-0.0468382214159304,0.166818596130533,0.653928896831689,0.220200546892304
11,Outdoor sports closure,-0.142288841008813,0.253297396181,0.99292579302952,0.33435256295892,-0.270701542425277,0.239700366215113,0.939625435563243,0.316404483403949
12,No outdoor gathering <=10,0.00468994723311823,0.0946088756044223,0.370866792369335,0.124883715797837,0.00121056244997069,0.0932045665012003,0.365361900684705,0.123030027781584
13,No outdoor gathering >10,0.407853052657782,0.136670456378997,0.535748189005668,0.180405002420276,0.35077597314976,0.132059867442383,0.517674680374141,0.174319025023946
