"","intervention","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","default"
"1","Stay-at-home",-0.0263732752377971,0.000444335392559439,-0.00636202682801489,0.000601855127131403,-0.0244892374252556,0.0100793882701157,-0.0155139370284146,-0.0097904899123896,-0.018859503532377,-0.00120134064128328,-0.00476773737599416,-0.0137467417504278,-0.0125998812160785,-0.00197929527262256,-0.0145311750393324,-0.0090720691277175,-0.0193314284397069,-0.0099929232255057,0.00830698218901504,0.0107079920236079,-0.0134458605811654,-0.0122638449756615,-0.0153393121078358,0.0138680532042893,-0.00722341381871025,0.0062143167585314,0.0087268576751651,-0.0125653309992822,-0.00512130827542989,0.000970597943622911,-0.00682953506903477,0.0162373812309825,0.000818881828010039,-0.0131924044632301,-0.00330056809327321,-0.01692305174675,-0.0199237758960647,0.00678363431918704,-0.0149545629801529,-0.00192478617295607,-0.0176854537170604,0.00597177611910368,-0.0109474547238866,-0.0124126011742147,0.000319562811836341,-0.0182213940351898,0.0075156083406314,-0.017871000193788,-0.0178623445698229,-0.0072955920398695,-0.0137587038989658,-0.00872696008800593,0.011022275902777,-0.0181675242380453,-0.00361801817895127,0.0123094746403045,-0.0171554253867819,-0.0112304961872915,-0.0170906587526354,-0.0182129174999624,-0.0201736262135523,-0.0148744521505198,-0.0149223651612752,-0.00871334763361452,0.00415831242209589,0.0149755995586778,0.000682366750972768,-0.00297689773042933,-0.00713923733173641,-0.0180125628311069,-0.0139776355933209,0.0133091338964902,-0.000657038662346806,-0.0166351932871402,-0.0198926891476637,-0.0210753271902403,-0.014958372642609,-0.0208927329707043,-0.00303764214190934,0.0144571569380692,0.0136891772332293,-0.0206667268695194,-0.00902408720563775,-0.0169142627605512,0.0154826485259234,0.0112373787325199,-0.0098829906462769,-0.0168270969713727,0.00921182835806538,-0.0258210087533675,-0.010826814852796,0.0102353939782707,-0.0185311032676301,-0.00121549372797743,-0.0157717277314117,0.00104606384666178,-0.00863101683118503,-0.0197465607995675,-0.00428422639024124,-0.0170078272380247,-0.00936987953338287
"2","School+childcare closure",0.0786158241301754,0.0784141018203268,0.0779595370506238,0.153273645206769,0.356428349532011,0.126270702906751,0.153596760515113,0.120257658684418,0.120038378740676,0.126013852636927,0.120331579330883,0.153417804790964,0.355893479266852,0.078462017344408,0.120393571204019,0.355647217055239,0.356164862350899,0.126247583725524,0.0782076725357937,0.120314113442504,0.126275159699692,0.153234287485402,0.12637507169996,0.0778768840511369,0.120103270062769,0.355160594889921,0.0779126905649418,0.355485966520772,0.126021483884283,0.153187542371715,0.0782331769602972,0.120448835222848,0.1259763283694,0.153276447710654,0.355220964980489,0.120796141556358,0.356013135691551,0.126216417934377,0.356162261542777,0.15320631563982,0.0781693971405554,0.120798464045121,0.153401106461742,0.126068281461017,0.126060424126594,0.0785893449830043,0.354962788027665,0.356003196634949,0.0780989691933905,0.12639794481469,0.153295806623235,0.120432683549338,0.0777995614789947,0.0781097785522143,0.0781278801277421,0.354913272476963,0.126412659572286,0.355926115340941,0.0781517425133319,0.356102057695808,0.120960807182507,0.153593868107552,0.119939890892655,0.0780011968299083,0.126157365702846,0.0783597136948683,0.120500583888228,0.153459316962041,0.153208291187645,0.0786080438637173,0.078444951318296,0.126142714575276,0.120512584123555,0.356546306016099,0.153196280883311,0.126231553549374,0.126325846167392,0.0783027088886091,0.126099095871288,0.126279618136427,0.119846995187313,0.126120235763869,0.153444815739343,0.120835722674747,0.153262234501825,0.354809426750107,0.153412441577856,0.153193704614651,0.354869681524123,0.15362994222362,0.0785928442185002,0.153076841111181,0.356017958714043,0.126011033695607,0.126219566035241,0.355217357941842,0.120115237888027,0.153511441321685,0.153577262788106,0.0783238998483358,0.35557885565053
"3","Office closure",0.0337148013234727,0.0562122705702493,0.0531525883235245,0.0623094278976413,0.0440205862059672,0.0546148252122851,0.0414089799198707,0.059932444344662,0.0598773697837271,0.0557123157857267,0.0544004277409529,0.0526244289747688,0.0559299290553817,0.057912306733202,0.0509458533401804,0.0590339287338877,0.043460220395894,0.0608051479031614,0.0599901340669159,0.0703008827098626,0.0461739666985486,0.0565859595617223,0.0411501774563966,0.066625324898669,0.056982296514891,0.0543720594780311,0.0672879539647014,0.0368904684014934,0.0571982734361071,0.0613504028371807,0.0594056709727816,0.0678057857319908,0.0641898161334398,0.0615701308437377,0.0567685237249833,0.0362156340133097,0.0520318244121111,0.0606116976865862,0.0485521644106897,0.0616817789858556,0.0512341594210043,0.0373218402451483,0.054423868094224,0.0601722258584254,0.0542258013963892,0.0335259480029658,0.0576746360532891,0.0548906170268734,0.0595195802793194,0.0499490428002251,0.0558809094986526,0.0535195775044427,0.0653221713712601,0.0496575588171667,0.0659304062174407,0.0548063874160889,0.0451419582991054,0.0333364563052117,0.0550267090807359,0.0515348598493029,0.0361686126334056,0.052478249134513,0.0525297063021878,0.0593117856428711,0.0569751255135793,0.0665620798060524,0.0583340750671966,0.0631995680687708,0.0587495491020994,0.0429047945187854,0.0460647316966364,0.0660226424697858,0.0591519342411119,0.0458716995871047,0.0583570718087509,0.0454639807491674,0.0382920494233231,0.0511422078948872,0.0650986928441746,0.0600340477950489,0.0650477934487814,0.0567218207696361,0.0518971240852445,0.0403653086989522,0.0701209766835401,0.0585349847196821,0.0535385498978986,0.0551499995267323,0.0568093957815381,0.0324602854084635,0.0583658064200956,0.0603044619789668,0.061241176039088,0.0638481796445734,0.0558292412024956,0.0475545797098351,0.0590738531896845,0.0568550803386686,0.0460171771796917,0.058619359737793,0.0577802823797989
"4","Non-essential retail closure",-0.117172514917785,-0.086615526735696,-0.124082906858207,-0.122739446960194,-0.111813785320748,-0.115220901160403,-0.106869395406144,-0.111933909056701,-0.10180125823501,-0.11511788590151,-0.130339215302922,-0.127407068056955,-0.118629257665842,-0.126479059155294,-0.123039815754601,-0.128878000862135,-0.112360043859856,-0.0958469313777471,-0.144596789647782,-0.129324039613927,-0.121315790789125,-0.115329593544579,-0.125824356589415,-0.0999627757629163,-0.116003405657532,-0.12107390554154,-0.117591181037287,-0.110011595665403,-0.108829297460984,-0.131711073298832,-0.114215027821014,-0.076011940476338,-0.109596716088105,-0.100947857139821,-0.133666640089943,-0.10989586424417,-0.118398208320566,-0.127218669223289,-0.140443939795643,-0.109174246454961,-0.114557709568395,-0.116314953231985,-0.0919345838029795,-0.110826181269239,-0.138327914374599,-0.10562145456395,-0.114139859719729,-0.123404846701363,-0.110208028420625,-0.122185881763819,-0.123263980967885,-0.125005925995608,-0.126495067063272,-0.0840996480916266,-0.105584848109829,-0.110833482781272,-0.134501755190354,-0.116683374108868,-0.120545115740478,-0.128348431446182,-0.118893414710413,-0.117252403969614,-0.138734105605393,-0.116699341454561,-0.122293867484916,-0.131187973412729,-0.0986089462344214,-0.10715042082527,-0.128407841816788,-0.124763854038982,-0.120383512431797,-0.129306674192092,-0.130707220473072,-0.100304880340545,-0.110715503231072,-0.113319131950459,-0.115208753571171,-0.137468784854614,-0.131898735870587,-0.135808300491568,-0.112618245009367,-0.135727116351823,-0.116806391913383,-0.129822350268717,-0.121068511436312,-0.130260223495051,-0.13346874560701,-0.100840990439509,-0.125066177254064,-0.115734660213113,-0.12742168089938,-0.11458425225899,-0.0968442530846298,-0.120619340858533,-0.113818473664213,-0.134539530173128,-0.101866528726061,-0.126253022478358,-0.116252073726242,NA,-0.118114987453222
"5","Restaurant closure",0.00259260356940678,0.0489818146771436,0.0405414211820379,-0.0282402232109031,0.0122888067288241,0.0494553880192271,0.0216119781935176,-0.0690517130883855,0.0259688910708638,-0.0338802288728385,0.0459474432005247,-0.0433755777216046,-0.067816168395565,0.0416331557098626,0.0268825764414534,0.03927675860959,-0.0807851444069221,0.0470425837085986,0.0579528660082029,0.0611464650404243,0.0209307159846996,0.0292172601286131,-0.0629488090239969,0.0636632035309241,0.0510646596981129,-0.0378278668344552,0.0516968448367046,0.0197836636738746,0.0406494531986319,0.0529495579525395,-0.0352013182796003,0.0541765410076662,0.0592984467359908,0.0453500879804146,-0.075503943295972,-0.00254078974635975,0.024709010835663,0.051635159582135,0.0269585276473037,0.0451765716018128,0.0259953906107696,0.0211841972827864,0.0211300828126499,0.0388823683469554,0.0491697470017579,-0.0735882014490248,0.0546872450344264,0.0372880394759908,0.0416333583530241,-0.0702802020615943,-0.0662734260013809,0.0363298650919234,0.0571077240440537,0.0192163192702366,0.0490036813918105,-0.0323195547259458,0.0244947619638393,-0.0485077888732634,-0.0718270948187873,0.0271871909161923,-0.084261264266138,0.0342229464806176,0.0213277905725321,-0.0271765543471652,0.0444383843998376,-0.028142595859924,0.0425411698726401,0.0518840510472731,-0.0513908700097078,0.0211556789378269,0.0157767326909347,-0.02194131296546,0.0369755474608004,0.0205657554061029,0.0299311365168745,0.0201625279030033,0.00700509324789741,0.0262904496160243,0.053377804029495,0.0512346385880089,0.0579876082134789,0.0325894498996654,0.0265954126097019,0.00616790659193732,0.0579946846985048,0.0550018246147099,0.0363416857965775,0.0347111285704686,0.0567445542464348,0.0039402231683929,0.040117866233406,0.0579920253000191,0.0397197746247115,0.0558084813157614,0.0324951915192365,-0.065177013775602,0.039952313538362,0.0254397915199375,0.0373642365959755,0.0326460365110281,-0.0523041804662197
"6","Bar closure",-0.0118343338709956,-0.0559978507972145,0.0252466891043834,0.0246831383846471,-0.0997115456531922,-0.0521789932398546,-0.083111526080568,-0.0522133738438285,-0.0157259692913785,0.0092517838542238,-0.00445469356634757,-0.0720835665490102,-0.0157705055656062,-0.0561458161651103,-0.0673231370410286,-0.0566021315422424,-0.0878809212159421,-0.0274539914420422,-0.037887086889115,0.0274019736477153,-0.0780988367521331,0.0293329158702799,-0.00825620562766746,0.0270670029376451,-0.0202724868795089,-0.0575036181748558,-0.0234292575098993,-0.0821332670827084,-0.00640378874798671,-0.00831616570178646,-0.0502249307367905,-0.0404504189259231,0.00248749678047376,-0.0428960033459376,-0.0254646161632193,-0.0896510431529517,-0.0774966759505538,0.00642092025577774,0.000791168959458304,0.0203666985378055,0.0432619659926902,-0.064253553034181,-0.0765625036816928,-0.0324863123099772,0.00448239627475883,-0.0302647183615918,-0.00954359391116934,-0.000974381360316481,-0.00243078920016037,-0.0622266903255249,-0.0161819069146885,-0.0550085616169078,-0.00375119689062,-0.0723475133226031,-0.0465022412615903,-0.0422477081123304,-0.0800019433491813,-0.0860506112322412,-0.050454306075169,-0.00874560383261994,-0.0956555270626694,-0.0590088175995595,-0.020434178869035,-0.04103524396683,-0.0284911559034729,-0.0359647657152098,-0.0516514899509941,-0.0334638174488705,0.00392948739189106,-0.0810222579144109,-0.0834057868374468,0.0139141884702909,-0.0530189453758402,-0.0473395170096295,-0.0432846146511933,-0.0742868773426887,-0.0950682708066127,-0.0769295669018117,0.0207521121148079,-0.0365069343303643,0.014943190669305,-0.0274307498980017,-0.0627273544062488,-0.039522433031674,-0.00758688819931116,0.00894529373061115,-0.00780852201695329,-0.046469809411259,0.0181013138049925,-0.102478162297791,-0.0563203008819907,0.00959543647736334,-0.0255652320221837,-0.0319522117376271,-0.0569033522174084,-0.0314930786185017,-0.0363536725914321,-0.0756286529595206,-0.0509492224663805,0.0501098829546484,-0.00391508659660801
"7","Entertainment venue closure",0.288759495975014,0.0537183670494838,0.153382257317906,0.148333279548017,0.23828221701947,0.244902437086636,0.25375166208742,0.051327915479285,0.147825174474673,0.151017142566951,0.224074388219915,0.171237926372715,0.207503981061401,0.0818064441669762,0.0688423678290634,0.246871850426132,0.0754022026390871,0.0373577797047052,0.118050961541136,0.286188674110272,0.18677731845018,0.12898813162344,0.162502270549096,0.239820182195746,0.0465481943219459,0.261531606979739,0.166632359409613,0.156157446800767,0.219255377171734,0.198181919750698,0.122931799674408,0.0738160720840103,0.159430208428549,0.304793226802874,0.0737600490821183,0.147170860397086,0.230227979874432,0.163513417674835,0.172115640727574,0.247336461265464,0.245091779983547,0.161602413436033,0.146966767908809,0.272406294893551,0.148588458200038,0.158751688557577,0.136961290064818,0.258826369962836,0.168513067749741,0.0637924011513204,0.14431665103576,0.0906144652730379,0.0626927830827887,0.040320238352308,0.21014833791009,0.29561305543427,0.0948080917737696,0.154790890312484,0.25829233638381,0.194344050891231,0.180876017814257,0.0643493450598989,0.0567056308227251,0.18240711452365,0.201308724455116,0.074280800256885,0.0573934149603068,0.272251166244111,0.299375691986086,0.135324524920785,0.225027795721064,0.253540230911827,0.171545557165214,0.0732690343765331,0.297255608863171,0.051719629876867,0.146295690287533,0.20615145334569,0.123641587769428,0.168968458013079,0.212318623504729,0.251551181922652,0.0621234502833624,0.134333368582497,0.158764120289834,0.0773985347948421,0.13491310407288,0.267131669851289,0.180806750908142,0.124836338983804,0.157495051204666,0.127563611120498,0.234663963769187,0.190158486391956,0.0678762414511637,0.215682189737472,0.258112880465575,0.151132788262186,NA,NA,0.0480163573784459
"8","Cultural venue closure",-0.123086439774327,-0.14793630038451,-0.160719098993273,-0.21681872236405,-0.16678029490934,-0.195535416828523,-0.14354736011935,-0.16475986753228,-0.136563307600951,-0.155213845120585,-0.246017280908229,-0.196905528928164,-0.223483092630898,-0.178707128572112,-0.17615223953263,-0.15400049502212,-0.177334975838954,-0.280934816989345,-0.163334393679471,-0.285088787152532,-0.194464822623403,-0.230984527349525,-0.139079775955905,-0.181940148360024,-0.162276160993237,-0.206685842865853,-0.180162936138781,-0.155616933281345,-0.125583359661614,-0.151799230154499,-0.24738232796264,-0.18861008789996,-0.155167382040771,-0.245252380497569,-0.140109449665567,-0.118248959222787,-0.147242791991651,-0.277755582704733,-0.225686339123258,-0.256435047447374,-0.140074454394398,-0.116273371006823,-0.182398195040628,-0.164533422736071,-0.140928052892332,-0.126617434793972,-0.175976884075317,-0.192686234367182,-0.208846077377802,-0.174967212770574,-0.231220792557917,-0.181870242415571,-0.215267884282153,-0.177473769910447,-0.129006435597601,-0.146897854456639,-0.150931934326922,-0.113484670347082,-0.222867828039263,-0.155572321256897,-0.171652312287551,-0.224376338494602,-0.123690744926665,-0.244823467261166,-0.151887844512261,-0.300369369870632,-0.184456387817672,-0.2851992312882,-0.160181156359407,-0.186229523912305,-0.189326137225213,-0.297104767627023,-0.202740565970479,-0.233933688582241,-0.166500803587023,-0.138180054167519,-0.177852419849619,-0.147657904173679,-0.232738293652004,-0.256442123270195,-0.16950084665044,-0.231429892412403,-0.156661535094825,-0.141789445451132,-0.313782451227412,-0.297920738258029,-0.29453747425219,-0.236417262842305,-0.162049373262764,-0.180547607305815,-0.299733363821419,-0.16697448233281,-0.238090552007604,-0.174392993310541,-0.240012025344642,-0.179103299921818,-0.244361136685249,-0.160579093809986,-0.193299275698968,-0.274693084209861,-0.175003236182575
"9","Religious place closure",0.0389663882883026,-0.0178341904377138,0.0569601013058663,0.0499676567173356,0.0589710032787092,0.0457812503503063,-0.0233219338986687,0.0643783555850726,-0.0387734286720112,0.0518306440405993,0.0543522365192109,0.0925149306053171,-0.042386317176386,0.0742174620099741,0.11997391176143,0.076867479432146,0.0543697039712724,-0.0349146640503165,-0.00208135901649477,0.0299730035422906,0.0705643624778476,-0.0252300180969204,0.00722919271821699,0.0547044594464298,0.0515347273564622,-0.0252950053772403,-0.010402719475158,-0.0185455369600282,-0.0234915463397085,0.0591324944149582,0.064654149530309,-0.00260458077358165,-0.0486700349599869,0.0197255887527039,-0.0161908168448172,0.036491073036428,0.0535055508751298,-0.0362739468439369,0.0432091858761464,0.0309645324730851,-0.00459534349278092,-0.0110693445992886,0.016358712155289,-0.024093721384426,0.0575904515466514,0.0831954294047089,0.0591166511511923,-0.0333027941221129,0.0213321721303039,0.0503172821352855,0.0555259319950196,0.0941473647814671,0.0584441907187935,0.125662585653031,-0.0251763837213758,0.00278966721049972,0.0497500512859241,0.0206532801391495,-0.0278828316752061,-0.0355205812328684,0.0617266429162354,0.0344127732029616,-0.0195629172369212,0.0570207091389736,0.00411643546047865,-0.025198445845985,0.0915452805345349,-0.0515213859911473,-0.00829381126187225,0.0593788729415184,0.0461192789177305,-0.0390974825053631,0.0614023127194233,0.0574680755367981,0.0561779756804768,0.0160145391816656,-0.00252797413786316,0.0930655950762715,0.0297411971813637,0.0458750822967276,0.0575028896590804,0.0556140134758998,0.111995754585058,0.013519830606641,-0.0339766072013616,-0.0379461265579338,-0.0315469609884379,0.0565680804953774,-0.0327293783368584,0.0665746995770363,0.0578338479839209,0.0493151551160977,0.01488914916163,0.0410370802499347,0.0596553618826752,0.0703511625462549,0.0537547727484287,0.0642198913802563,0.0475396173867386,-0.039685431784486,0.0603790886410759
"10","Indoor sports closure",-0.0686922371352989,-0.227110805705968,0.0871223009593392,-0.19660597007288,-0.0797494715809139,-0.206432688153309,0.0677801820843134,0.0809883591752296,-0.0821093360533753,-0.192048482213783,0.084077490104465,-0.0924926227040233,-0.0998894702202856,-0.183703015520332,-0.0920556770423459,0.0802782996025416,-0.0780468677084748,0.0811439122832501,-0.228072190045033,-0.195526440175806,-0.0691170569998952,-0.087731350911654,-0.0955203359149142,-0.235473567843737,-0.194926612301855,-0.171132620495992,-0.180727338581378,0.0681751914722415,0.0834214728287731,-0.188744480633559,0.0748977081880684,-0.225159495225995,-0.235335101167216,0.0836196654469589,-0.196073070914755,-0.0711503082217447,-0.0909649157514313,-0.195618594227986,-0.0828100191084148,0.0879860288244135,-0.100134796064537,-0.211035934755543,-0.0807604310869826,0.0835395636079791,-0.191934738516846,-0.0803530766400526,-0.240799896713428,-0.0870266630384646,-0.100474039309596,-0.162930976925852,-0.0998311555488666,0.0786332827654525,-0.236315946371362,-0.0808854849680271,-0.176987041381792,-0.234211302225089,0.0694519293676299,-0.0826225721210932,-0.0811665569440786,-0.0831474339740736,-0.0772206102377441,0.0694048227443102,-0.0851079549484624,-0.0973949193594063,-0.184516383771479,-0.23443197837806,-0.185677074187024,-0.184386079587501,0.0806340714808825,-0.0803701322447498,-0.0699072048013747,-0.244986281880706,0.0760298050165574,-0.0727371407859363,-0.0977594089885408,-0.0826864805861445,-0.0692812486223784,-0.0962694340100763,0.0927419637161934,-0.209578594362441,-0.238165801698036,-0.0869909486286446,0.0668133885985305,-0.0837368038248147,-0.22917452759777,-0.240166473962354,-0.0996133940890447,-0.0848890181801917,-0.235655520121556,-0.0666071138550913,0.0752460602439372,-0.24014884036197,-0.100496766557996,-0.241200769537366,-0.094880064655403,-0.233170583600284,-0.0965703571277104,-0.0890175764188326,-0.165555976525787,-0.0877720574905695,0.0811661086734597
