"","intervention","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","default"
"1","Stay-at-home",-0.0923383014691899,0.287150233079714,-0.166338604994849,0.302074594507575,-0.334911574788873,0.281725074212143,0.492565533098627,-0.068562056726391,0.488063368514886,-0.0823604314445804,0.524925350515814,-0.0796537717582375,0.302743970509863,-0.341680722832709,-0.177768156604308,-0.071031535956638,-0.0601683753882121,0.490171244906712,0.488096616174745,0.51284768021247,0.290206853961509,-0.370358443663576,0.512806212832403,0.497397908750797,-0.177762466055482,-0.0725135736846483,0.489639650577056,0.289383949623909,-0.0930028598850734,-0.0906646585846422,0.288433643454719,0.512871221804512,-0.080234069829526,-0.328185724283196,-0.0914787501076628,-0.0804676522415652,-0.0531441884456543,-0.163904408259674,-0.162133226761756,-0.0537704971268583,-0.334778272741597,0.489148426729274,0.302402826479765,0.48219695960452,0.523848618513715,-0.0675526614165034,0.288451873793572,-0.334585070672496,-0.355360640690074,0.302748137945957,-0.355574675129401,-0.370388889016826,-0.370479484656589,-0.328492676815163,0.291037244834307,0.300981397799302,-0.0792604053374747,0.302144168702665,0.490144476587447,-0.167340186651274,-0.370394081475723,0.523464065791189,0.28874965565494,-0.327912594187006,0.288717759854013,-0.334376619188209,-0.0945698362993937,0.496466026334547,-0.169465778339083,-0.182053293608698,0.288468089868845,-0.355568437988071,0.303455960927886,0.489151173146603,0.523504197281534,-0.341659091346736,0.301287328916208,0.511148265565087,-0.0866251796718279,-0.328604961314284,-0.0563001156808344,0.287976269194498,0.28118050028764,-0.342090329793321,0.482213195097917,0.283235284628969,0.512443094055241,-0.0614905997332105,0.524911884961811,-0.0930587443889702,0.481582694340443,-0.169717082730562,-0.0547321670578258,-0.166377644387989,-0.0554224759178598,-0.0792909470977261,-0.355360640690074,-0.166185706142367,-0.342055661577998,0.288470100501164,-0.0726937362412777
"2","School closure",-0.0321211146326629,-0.0174237754998569,-0.0353933978965436,-0.023028003744325,-0.00518569645030616,-0.013357674815431,0.00378296560956501,-0.000352699076371881,0.117648733727883,0.111149082787077,-0.0103655622423824,-0.029762611011539,-0.0276376976475962,-0.0112427794678526,-0.0222897195366119,-0.0177027478847302,-0.015756214873797,-0.0160412614045149,-0.0123189648720591,-0.0390690764351183,0.0072806043438074,-0.0127493468373576,0.080588649801119,0.109482939836469,0.091553447373496,0.111904647312151,-0.018426550150894,0.0913285319646731,0.106032409606581,-0.0162929489964105,0.09632847629147,-0.0165163974039026,-0.0132638978099472,0.00476744717847738,0.103548018243316,-0.0315334011159799,0.120513278144363,0.101346759797056,-0.00426135872520637,0.122520752258363,-0.0118406951572652,0.11718061180804,-0.00865291311059409,0.112949859110424,-0.032318972721883,0.00401480708251874,-0.0195955799091527,-0.0121482870050444,-0.02792127023027,-0.0179745964610115,-0.0131383730546298,-0.0249953079356479,-0.0328487382139639,0.0078424922309996,0.00571714746523924,-0.00890303356819281,-0.0121801795678734,-0.00188328394621766,-0.0191793093351043,0.00518462783236957,-0.0201219641575115,-0.0271303483455038,0.012403551023404,0.10740416350395,-0.00147320001627723,0.000497838289259604,-0.0259984480403496,0.00593643766071962,-0.0141611543055926,-0.0293529749874993,0.00260768976125428,-0.0114159200585705,-0.00955978782454293,0.00436655821581863,-0.00310558091153635,-0.0168381425238561,-0.00991891845280989,-0.0346234802095725,-0.00485270441361129,0.0830147533831779,0.108065293870637,0.110195658753811,-0.0155236916998036,-0.00358028849289083,0.00329179826661562,0.0114053634326479,-0.0271822387220338,-0.0194038839191802,-0.00475403764001221,0.103777241541646,0.00637497209546531,0.00642468572177881,0.00653953817262626,0.09823132125526,0.00900512568247286,-0.00877920751470425,-0.02863234573624,-0.00116438552774266,0.00026109123992183,0.0936874962874577,0.112664788389552
"3","Childcare closure",0.306779110481216,-0.372889881526328,-0.380373243957982,0.325417636029644,-0.354034069780597,-0.254695241409131,-0.248957457249513,-0.340578997556556,-0.330486645258704,0.327366584638617,0.305541982820702,0.333160263897481,0.315357120963446,-0.207519114634834,0.298466104478928,-0.38159190181973,-0.257742183690618,-0.367272797207126,-0.370033070508915,0.323165325418632,-0.19244332532412,0.301833485763841,0.323085535338628,-0.191618316024641,0.299921456265984,-0.35960966455382,-0.376830547300399,-0.195488918743117,0.312481104305633,0.311910609362664,-0.330893066788763,0.318382661594178,0.33028941019437,-0.269264124448258,0.317962090389376,0.318715152344778,-0.198167808010961,-0.213671472952228,-0.281573339437686,-0.199300762182917,-0.345886579232678,-0.364083891256351,0.317725427736382,-0.251505147011646,0.325147081933902,-0.314905167800188,-0.387528734249166,-0.351265767235182,0.317434835184888,0.315762339503496,0.313591403837083,0.303281034068458,0.298329457227187,-0.26644310711192,-0.190623992214279,0.332959826050402,0.331292975254559,0.318516019390432,-0.364703662899375,-0.271891066705517,0.302897258256289,0.323263077626209,-0.246322098769015,-0.267785512742507,-0.25070371876607,-0.349310032980228,0.317863692796701,-0.189934937985259,-0.215164988342651,0.274335198936691,-0.342564695176821,0.314220468481477,0.304710928901548,-0.332189614209228,0.319390692936232,-0.20834063609771,0.331135210985519,0.33611238488443,0.301037195920469,-0.267255508032147,-0.255730502474727,-0.3834965871938,-0.193384370982941,-0.204001324705812,-0.252460033852759,-0.250603583764759,0.324881992806682,-0.262451338295371,0.304691428459156,0.319446906887329,-0.25518629486992,-0.207785847506498,-0.253880997825019,-0.359983283526368,-0.255337431029058,0.325510530891749,0.316771794839863,-0.352413756906764,-0.202914750202835,-0.341042915213923,-0.36075503922564
"4","Non-essential retail closure",0.00693830567420117,0.0157032592230019,0.0231046477720822,0.0114700413291901,0.0521310419000894,0.00807854987404786,0.0392269043825945,0.0490946394574963,0.0469396557638616,0.061713153414728,0.0343365782927645,0.0153279106089795,0.00273476714448989,-0.00168374215886498,0.0483422349983268,0.0176536694592339,0.0101920538452573,0.0160131082423463,0.0144052823025147,0.0145788680918604,0.0700254464017771,0.0378149108891204,0.0140733249014937,-0.00549954750584743,0.0180534350168753,0.062972353648157,0.0163448508030871,-0.00863461161630946,0.0373594073687034,0.0364062043423959,0.0469421425133456,0.0442269402974235,0.0449367010504111,0.0426948737261909,0.00576046787479978,0.0150125345900686,0.0755525091329733,0.0289140911569021,0.0124439894879014,0.0586341849625287,0.0514295607614832,0.0774009418208471,0.0325363086320311,0.0383840960928283,0.00414566014525319,0.0462142111393328,0.0167632488446006,0.0955682377223373,0.0166741778694679,0.0017443463007857,0.0478175445280466,0.00774731628945515,0.00911980602356751,0.0429369498285627,0.0213914973004405,0.0420752721746065,0.123382184630309,0.0326963713157325,0.0157979932995294,0.0450013097208575,0.00721676561136291,0.00237680992036224,0.04038500674605,0.0427285606743139,0.00717845997524553,0.111503947995066,0.00465378929032102,0.0244409934486075,-0.000387495000009222,0.00940290456438925,0.0461873056026045,0.0479103277494745,0.033702417184934,0.0452784129967733,0.0340007700648613,-0.0023329323745142,0.106630001394204,0.0133854974293889,0.03723793468331,0.0123831267997782,0.00947204650107612,0.0151595458712444,-0.00893516290094351,0.0454950631312321,0.0437045385661523,0.0380512238115232,0.013126931986838,0.00989134712353191,0.033852380666844,0.00504831186096415,0.085963910404635,0.0290112204524224,0.0402633888868852,0.0721199519983283,0.0395371722295293,0.0450538353748834,0.0161831146908348,0.135081383033685,0.0287997952534376,0.0455597386924486,0.0778659509835296
"5","Restaurant closure",0.269998026499268,0.315913186422223,0.305435021124802,0.291487457254169,0.294598480956051,0.309080251192605,0.288360006433235,0.291032595825819,0.308764534704323,0.0704576505323204,0.261417516969916,0.312361088243727,0.0643560079920387,0.306680865999279,0.310267491847646,0.318388625443482,0.292710529824394,0.292841867146967,0.315534783356912,0.291370190181679,0.0662725944370466,0.28338074044908,0.29231145907457,0.273152572863983,0.318409429611141,0.2998764195785,0.295629349976992,0.295448439228129,0.0607623419946891,0.0608103903612181,0.297633091017298,0.286917985499578,0.306464595543183,0.308379700752847,0.288702296990046,0.293513548054173,0.298060042188973,0.299966706872117,0.316924939039214,0.294859667259844,0.0758024482602266,0.0737372846349261,0.276044848127101,0.290782925670829,0.283531701063774,0.312226342591125,0.297123374832393,0.318321882473145,0.316868275467018,0.0663699799294405,0.312434148804129,0.291824062891196,0.0704923845506866,0.0749830123314763,0.277769311842875,0.304220567259667,0.309922389208069,0.280397607898524,0.296384591025511,0.291437101270887,0.291565793852623,0.283105482846899,0.285120438864457,0.312567521890763,0.291561837162457,0.320453576885174,0.286991300751933,0.272073570816172,0.308986310678183,0.274026068154204,0.293127696134372,0.312664595351555,0.262403737836531,0.0714640049343473,0.280517478710348,0.304468330423392,0.309678184608497,0.309792352280829,0.259950357788959,0.295320204930102,0.288242912921874,0.0758143098488362,0.296024123418197,0.285221824100328,0.290820291955171,0.293264037907904,0.289659871774563,0.311827900559836,0.259715032458995,0.286152996771504,0.0754223715099648,0.279551172969997,0.286202052517292,0.299891800957811,0.287515488492525,0.0725963552454691,0.316874199539935,0.323444066238363,0.285316667572152,0.293438551447298,0.0768083995860879
"6","Entertainment venue closure",0.12384225790193,0.631767121208415,0.183802650202389,0.645953940941951,0.163140646798318,0.174118760721843,0.178254909027014,0.160480254404714,0.174184579311796,0.172695105429884,0.668095790340745,0.152937193085594,0.0992192668207138,0.141152128918354,0.175879949940619,0.159058061358541,0.16100238343714,0.156826214527933,0.658096979119061,0.168216219612585,0.645420269069231,0.128459789902892,0.168710047052109,0.134929906237355,0.694030004745859,0.178741682018443,0.156213456907207,0.15214659093123,0.126168383406968,0.125793483698962,0.17572059614587,0.169285126993461,0.17122289294602,0.183076190755176,0.107591124693174,0.173505992191566,0.139094913973929,0.170484007556326,0.184166819206804,0.15683391898695,0.182008242171845,0.156161605536086,0.120245417412148,0.178185041959741,0.121772417573184,0.699771759471859,0.154600391014038,0.180499502466299,0.15594579677014,0.0993603522969567,0.156734148542304,0.684372102775871,0.107927157137431,0.164413693893665,0.154671524270883,0.631686953679945,0.153408614241959,0.102460813364529,0.175692694085123,0.169127382990483,0.109261287086063,0.122097287502069,0.1572755026504,0.164812853963585,0.17552458278491,0.162401467860761,0.125064310354729,0.136668609684587,0.711227877266147,0.698924163362989,0.15696682889087,0.15627198575409,0.118544720999893,0.157351867399778,0.106133591319918,0.159775420029937,0.148064734576835,0.650190969449485,0.105280514738937,0.164398498970193,0.160919973889726,0.155041203835063,0.636190799011266,0.160729386695254,0.686348457685267,0.175653039751143,0.148451414337533,0.178765326467492,0.673890672271787,0.125267808729525,0.177343265601034,0.145416799779225,0.162979808128133,0.736330767838743,0.163383047796753,0.153935664720022,0.155941360408981,0.163969057457816,0.160871676929162,0.157033738132951,0.701129656806672
"7","Indoor sports closure",0.11071130083831,0.133258266645584,0.13030341509762,0.115832928812435,0.119432102631466,0.141862554309838,0.133036420661206,0.120293200081895,0.127495033613435,0.124167049443636,0.106320929419666,0.125676496259847,0.111190116494079,0.147065989436961,0.126343760134438,0.134313594849287,0.137819510080889,0.125914596892056,0.133882728172129,0.11267878277356,0.145310849323844,0.118273971329546,0.113058290489926,0.140861748014703,0.130774818243686,0.130892258987715,0.126578448058204,0.148832480694991,0.116667976138999,0.113274367957935,0.124370365032321,0.110678808800641,0.121994037692797,0.139544383576815,0.120659783545843,0.116915000725455,0.146087871916418,0.147807702180422,0.143295750862458,0.147439149469368,0.130944167832889,0.12729141213127,0.106532093690963,0.136942803585073,0.11627298605782,0.126370437087678,0.122811290609117,0.131710580730411,0.130019138650323,0.109264220037997,0.124606243929837,0.122837210157966,0.120184991330335,0.137751444650745,0.142600483286072,0.117613301108818,0.120474715859342,0.104494306068016,0.127308970365788,0.13702551676767,0.121269318428149,0.119834928226905,0.12819966837561,0.13583595719582,0.135849718802402,0.132403561083957,0.118835296161657,0.139645150732508,0.151176356551929,0.122093113693112,0.11915635204026,0.120812364931511,0.102796291570184,0.124225321273859,0.110017434875281,0.149774919296724,0.118008484437932,0.126373805692406,0.104381926415834,0.136715663670456,0.132447788079446,0.128483831106231,0.149133583987461,0.151031029811764,0.138861629099617,0.135450887759111,0.113305815984297,0.142255509911403,0.105099589759111,0.122185391550173,0.138823106738713,0.143993633299241,0.130182023411541,0.127909509589592,0.136185272120741,0.11959110181807,0.128829801096889,0.132925536458551,0.145620619519888,0.121684731352913,0.131847904589008
"8","Outdoor sports closure",0.236111488691135,0.264544335739422,0.259429657614137,0.247716840527705,0.257066453290332,0.268079306445743,0.267343812145318,0.256128280984194,0.259076785204217,0.251718655633632,0.245301050964965,0.258157472986613,0.243875378973672,0.274123299580938,0.255952230939089,0.240145880345511,0.269881459997807,0.261121058281236,0.268235605318463,0.249723210594858,0.250299502474523,0.247493992828182,0.242504697085953,0.278170300639294,0.265540414013303,0.261822446981798,0.254682584743341,0.277668575227568,0.244194955485909,0.225756217647194,0.249890172175531,0.244923196486864,0.255564733078823,0.265367472862136,0.257386981415926,0.227669579247018,0.277546065982633,0.275978971252698,0.247655070507648,0.261022407128847,0.263362532773133,0.259416130835313,0.238556833602915,0.268043926760223,0.245297524732523,0.264876670597137,0.237757224643299,0.265895446651497,0.266856984527375,0.226188480717491,0.255983226195977,0.25690705442447,0.24900842822031,0.272605273355828,0.249843986186805,0.256930640702487,0.255454568355508,0.247961110093019,0.260069513275684,0.267408654590193,0.227794741159585,0.234693130611223,0.264621037437819,0.275495436320881,0.264653283098283,0.269913274545422,0.253702130589852,0.273552488329069,0.278302681213895,0.233174637324498,0.254762523712317,0.253049038447359,0.212384680563502,0.260058106399846,0.24871706772319,0.273677326647655,0.255932359232985,0.261228363683433,0.237498599836226,0.269122807683247,0.244066370648034,0.260921232448235,0.281164966690109,0.276673194194739,0.249628549440186,0.264981602689487,0.232704535405743,0.271455515156139,0.238180055954543,0.236343959535049,0.270766945462731,0.270143761424153,0.246545342920076,0.259691475382162,0.268389950447527,0.254314374835449,0.265357676369976,0.26867835069672,0.26924375440285,0.259509769210631,0.242634479350113
"9","No outdoor gathering <=10",0.0401344807648531,0.037605325203684,0.0373005010391615,0.0387169097937538,0.0314439793249345,0.0395165594996555,0.033367893887818,0.0295568918597991,0.0376615121070137,0.0400218096733372,0.0346368076885715,0.0369304211505742,0.0380978743843159,0.0290302122364174,0.0370705216843805,0.0351784404768588,0.0341876342221231,0.0332918448665996,0.0362992927535572,0.0395761827557559,0.0308895628360395,0.0372857131243015,0.0410156150924971,0.0289629047722169,0.037581782863565,0.0357306985896717,0.0353319309599333,0.0344733560372998,0.0383981835893845,0.0385112021007867,0.0369722953561251,0.0371301852549892,0.0370831100544958,0.0349699886391056,0.0340319707104106,0.0395119772467694,0.0266055397826244,0.0314273164987221,0.0353523753243854,0.033754585915285,0.0373483913284051,0.0320126500459502,0.0398769645401401,0.0327772764536163,0.0410962777097486,0.0322417619530069,0.0358558542488239,0.0385351057079531,0.0358611528801233,0.0367835070632622,0.0336758207428225,0.037185429164176,0.037449489007973,0.0291798672715275,0.0320793768340903,0.0366113597448454,0.0349928547500447,0.0336648481222125,0.0360541706022149,0.0294322151804838,0.0353244285793067,0.0400231126687677,0.0306523159990293,0.0306454222046111,0.0353490390989105,0.0314085789571326,0.040599901972075,0.0287105209767157,0.0313550107672818,0.0368105125594511,0.0332202397275739,0.0337285515008522,0.0374818099327787,0.0315882404901875,0.033882608291135,0.0334176520478253,0.0346261232945258,0.0393724618047773,0.0315028542233422,0.03466524216843,0.0307570687409307,0.0344612925961485,0.0339843329117265,0.0307535374980671,0.0324977655227879,0.0341623377217978,0.0365727375820684,0.0389266676219671,0.0340919346705057,0.039466033250696,0.0339835002022413,0.0258499214196663,0.0300080691343856,0.0331203052921707,0.0293460647102477,0.0333373991425528,0.0367175253008483,0.0313739521039166,0.0313960069822364,0.0328798072600948,0.0339981039950433
"10","No outdoor gathering >10",-0.0553314328365654,-0.0516602430653842,-0.0614175907115966,-0.0517157380008386,-0.0608788139598783,-0.0455547556764031,-0.0490482003003171,-0.0588418740084566,-0.0550913680427948,-0.0587826492734459,-0.0516157252972026,-0.0586312343711696,-0.0474578176392946,-0.0525675469133444,-0.0611107167026829,-0.0586395664200997,-0.0526032779130062,-0.0553476902876898,-0.0550913680427948,-0.0554200585782674,-0.0430830748879619,-0.0570328508886553,-0.0554200585782674,-0.0470251613768209,-0.0611107167026829,-0.0587479462010825,-0.0552409634544301,-0.043139438798324,-0.0551198873434298,-0.0551198873434298,-0.0518988694843187,-0.0554200585782674,-0.0586919334677559,-0.0546561291403568,-0.0550452247742754,-0.0590507804841939,-0.0508164417094288,-0.052785122986005,-0.0550427382072771,-0.0509310630013946,-0.060710394786209,-0.0551623031952442,-0.0473573329352778,-0.0490923012482682,-0.0512929462938189,-0.0586395664200997,-0.0518988694843185,-0.0606694176061324,-0.060697272829902,-0.0474578176392945,-0.0607568542774352,-0.0570328508886551,-0.0570836997930501,-0.0545643140137297,-0.0430501178498937,-0.051289166151135,-0.0586312343711696,-0.0472912621075009,-0.0553476902876897,-0.0548514672039348,-0.0570328508886551,-0.0512545034454691,-0.0454027025377019,-0.0547646636637306,-0.0454027025377019,-0.0606573060950778,-0.05506540875478,-0.047053304496416,-0.0526828896545376,-0.0574408015501156,-0.0518988694843185,-0.0607568542774352,-0.0477594525459691,-0.0551623031952442,-0.0512545034454691,-0.0525675469133444,-0.0514018678470785,-0.0549216700020605,-0.0553314328365654,-0.0544901829540558,-0.052546072220579,-0.0517917310533639,-0.0432179489514336,-0.0524093238733805,-0.0490923012482682,-0.0453871157181248,-0.055252368624937,-0.0527737744156768,-0.0516157252972025,-0.0550452247742754,-0.0491552521746346,-0.052508709512006,-0.052546072220579,-0.0614175907115966,-0.0526032779130061,-0.0587826492734458,-0.060697272829902,-0.0611673581749055,-0.0524093238733805,-0.0518988694843185,-0.0586826666303544
