"","intervention","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","default"
"1","Stay-at-home",-0.0756595345997816,-0.031293898999854,-0.071876597702143,-0.0814255305273647,-0.0962190217643661,-0.0774694511754085,-0.0822446782578306,-0.0859636941387944,-0.0699106485843177,-0.0808079459068546,-0.0793959332425548,-0.0729613620524323,-0.0774997874904273,-0.0772989013917494,-0.0745698395927366,-0.0672950590865801,-0.0739832276975315,-0.0804157202232113,-0.0749873981499983,-0.0872868056393497,-0.0923359852043274,-0.0766058492120983,-0.0763395923789003,-0.0237864994315538,-0.0783010157163216,-0.0966817611276548,-0.0807696014730608,-0.00424255437252288,-0.0746625199053595,-0.0762276215026907,-0.0866056071981535,-0.0890473042564215,-0.0798869607631877,-0.0924121933083381,-0.0698191729514031,-0.0778336710957614,-0.0115026509442468,-0.0721649042845008,-0.0669280737395292,-0.0782122970516248,-0.0802431224359965,-0.0843148863338526,-0.0738366435608751,-0.097293519822103,-0.0749640934901504,-0.0717970078997455,-0.086404102893549,-0.0850961973187408,-0.0751802115757285,-0.0867978409459607,-0.0795821484816212,-0.028918019713028,-0.0666103894886627,-0.0805708732143968,-0.08058229745095,-0.0875484919378381,-0.0784623858021149,-0.0886553187030251,-0.0775348644182189,-0.0166403177620918,-0.0787060786362092,-0.030110091516349,-0.0793094704416107,-0.0804371859492848,-0.0715921974814864,-0.0721461533524836,-0.0714619462302772,-0.0372824368604279,-0.069145755360508,-0.0712272458659087,-0.0715559544279233,-0.0372734030891882,-0.0813371473810824,-0.0750180138869329,-0.0777502292415436,-0.0753378199884285,-0.0723729767218241,-0.0184565472028576,-0.0691422322575683,-0.077130102109796,-0.0732885219342815,-0.0760246824864973,-0.0808497474456449,-0.00275943875921562,-0.074584113377066,-0.0853719710940857,-0.081087514967067,-0.0734161813757045,-0.0258903633853707,-0.0743484911511197,-0.077637733296032,-0.0774401799267902,-0.0142353632371231,-0.0750795105676905,-0.00350805082237122,-0.0890473042564215,-0.087702805683283,-0.0734940302603897,-0.0902576241582684,-0.0755443019657397,-0.037058420424705
"2","Childcare closure",-0.207642406865057,-0.206451573558048,-0.196597246893996,-0.212221194581927,-0.21167092242502,-0.194863190616653,-0.206235046836941,-0.20351089787515,-0.204027311480774,-0.204306443054599,-0.204571036485501,-0.202712609525317,-0.2044129107663,-0.209652860494322,-0.203868660756514,-0.195516605162061,-0.19940026800517,-0.202185551828773,-0.210458116050658,-0.204198535567272,-0.206143145841415,-0.213994761613423,-0.206349460661446,-0.207859059338318,-0.20354718553728,-0.204581007060799,-0.209746859784054,-0.211669642277662,-0.200432902281153,-0.20602946562727,-0.221062702569944,-0.211569395601038,-0.212849204864951,-0.206149491348269,-0.205952029173335,-0.206285726243615,-0.213827227084179,-0.201984539033015,-0.197288151212432,-0.208927291144403,-0.202665453627621,-0.201338416182655,-0.201690263342453,-0.215984340757039,-0.199526993674665,-0.205035069017052,-0.203826718504928,-0.200010885963795,-0.201321861926988,-0.209259312830214,-0.197561849102723,-0.198787522081431,-0.197340109291031,-0.20302570715699,-0.207710589903943,-0.209237161495226,-0.207104223813925,-0.199960754731278,-0.207155336813397,-0.20292325132983,-0.212161709079524,-0.201722978041527,-0.21106993329255,-0.20781295323893,-0.201237324415417,-0.209265543467766,-0.199219725608549,-0.200015807950378,-0.202384938099566,-0.212928635585856,-0.205395335878805,-0.20625137152893,-0.206744436421625,-0.204333412419214,-0.20577798385385,-0.203917177187094,-0.208651245130853,-0.202432913959148,-0.200348722017125,-0.20082540359148,-0.206229051611595,-0.204883763855859,-0.211841923936422,-0.210711595577149,-0.20631117845052,-0.197987998962784,-0.207384433459344,-0.199863789539374,-0.200139214929712,-0.198921277132879,-0.206400314685056,-0.208102799394992,-0.209514678282051,-0.212052419024417,-0.212209824682817,-0.206657227465467,-0.20286454706458,-0.21552470576265,-0.215463540701669,NA,-0.207508454580422
"3","Non-essential retail closure",0.0325914314036323,0.0362723707753428,0.0405917738789942,0.0348878228115937,0.0367728507049785,0.0262067280882019,0.0329323522371717,0.0363156942573073,0.0386847498329107,0.0348129656182943,0.0328750173688852,0.038530666015652,0.0345550971722663,0.039265867096263,0.0324062141541389,0.0310710368484235,0.0323843412665258,0.0303563346006229,0.0341663380021268,0.0396252939873715,0.0310844792033144,0.041924011253167,0.0376828452460889,0.0349505204503479,0.0323377468045507,0.0305136290045246,0.0356487170351651,0.0341657290992682,0.0286207629265915,0.0332679308542009,0.0377910497769988,0.0384484754808548,0.0370408559069732,0.0373036830022395,0.0318833948197095,0.0376828452460889,0.0392128953187178,0.0376110972803828,0.032412767417968,0.0382845745030194,0.0366304105727927,0.0355083924864741,0.0273704581444016,0.0319157477820144,0.0326494299984752,0.0434082573562775,0.0338179952715317,0.0353449815745171,0.0364009802876843,0.0340580120505817,0.0341582959351042,0.0344756137669402,0.0322908326023053,0.0295113557213778,0.0377851463702073,0.0342963432744297,0.0312563214445492,0.0264835241414242,0.0319851307958437,0.0270502530734888,0.0372008987462801,0.032131537147521,0.0363833028562407,0.0430003353810634,0.0402776150288003,0.0395705003800969,0.0334238923683888,0.0289898498956187,0.0392730785058902,0.0439048427960007,0.0446709438091711,0.0322763543315183,0.0403053266560995,0.0372397262190661,0.0302258925304415,0.0351589536662275,0.0439452040251945,0.0320772045435562,0.0397572395828678,0.0287324189188771,0.0354325088260647,0.0379659803606676,0.0369225380283798,0.0336582647386221,0.0344271884776369,0.034943346242368,0.0260081700682781,0.0343733525947608,0.0348960618959315,0.0280887808690493,0.0316680962528517,0.0348211426196192,0.0400401260506673,0.042983755789556,0.0326752046320108,0.0386800837390864,0.0324165232320176,0.0353695058460755,0.0320232266936674,0.0372397262190661,0.0327934223004364
"4","Restaurant closure",-0.29047401687958,-0.0766903152509032,-0.0738464793959215,-0.294449560207911,-0.0685971910440265,0.213268488480939,0.186722675513135,-0.0615187517630275,-0.0579559215185275,-0.310679538745798,0.178842851002521,-0.0610396472748566,-0.0578189908590403,-0.287854871139421,0.181302457240507,0.221590754032345,0.192976180717227,0.176574036591924,0.173025466708833,-0.0774428740772485,-0.300155440813145,-0.0724193283036625,-0.0611471192687691,-0.0555865233247323,0.191712269434009,0.188905719773173,-0.0579974780716404,0.17606148749475,0.222813950817915,-0.050680546966474,-0.0683898695347887,-0.0432294439081297,-0.075658976029048,0.217957309627394,-0.0589437757298584,-0.0631505451965985,-0.29292759311136,0.210771009965343,-0.0539737019063306,-0.068706476778635,-0.299708237155167,0.235390892852922,0.156535307951823,0.197833713735373,-0.0736520767010571,-0.289349719061073,0.180630330719366,-0.290317475042998,-0.0564514851789128,0.176477067105549,-0.297596899675732,0.226501023900509,-0.306285730900657,-0.0725702557740729,-0.301567385473441,0.16005523874561,0.201376386294853,0.193299855728834,0.22856016061501,0.15298771317155,0.188711964208563,-0.0557852042520403,-0.074002337344821,-0.0681519593346251,-0.049670727843795,0.172703642237678,0.22586970094005,-0.0614252258336059,-0.0761093980288955,-0.0669134631310066,-0.295194501273434,-0.073580097815315,-0.0587476559871407,-0.292115032285166,0.161366256519227,-0.0806441889935386,-0.0450623354427749,-0.0614284026726428,0.2060970495478,0.18132170557312,-0.0703634468675222,-0.0732178785980833,-0.297288902374817,-0.032357579924676,-0.0588904254426571,0.21820812759363,0.162761185027225,0.175209443193035,0.2144401456899,0.174344181046549,-0.0540809220850824,-0.0741298756251699,-0.0763794092402664,0.177249111725342,-0.0709507799792139,-0.314330215487118,-0.292813786766971,-0.276398988220565,-0.0400380649874559,NA,-0.294178736885505
"5","Bar closure",0.101892972468485,0.0984117503638904,0.0950401231158101,0.080478726331996,0.0920384261242929,0.113841221826325,0.0727585288207007,0.0989170252679024,0.101569595774247,0.0705026288665962,0.0744442108939016,0.108513009967476,0.0930957489152966,0.0815271448251547,0.0928051780088978,0.111762219307904,0.0936044695612238,0.101723972690005,0.083609657176797,0.0839522679081574,0.0767585384061263,0.0828112114027219,0.0801692244434334,0.0947649331631305,0.0982454631540854,0.0787971672618651,0.0818111713852274,0.0847849668616641,0.107818769736784,0.0906025898296973,0.0830966983863626,0.0855418659532175,0.0933275555325142,0.0828545725103483,0.0925024637676529,0.0801827927451249,0.0819067835940727,0.093226067071857,0.0931581947092855,0.110804820313997,0.107147510844336,0.0854947444230477,0.119810407688593,0.0911723330312371,0.102038850844591,0.0878239704542901,0.0751285390123473,0.0846637596613455,0.0777186177290191,0.0836205531840774,0.0892729768822793,0.0961008418705244,0.104266093233757,0.0947168126979275,0.087103058652226,0.079255196000963,0.105382114779357,0.128987166391687,0.0890341954367355,0.104172418222074,0.0785199052527729,0.0943634617879479,0.0827758397435271,0.083786189138981,0.10689974861043,0.096902021511355,0.0864550882644666,0.102190336768627,0.0949850279765351,0.0831902408381654,0.0734170191227322,0.0878006568197099,0.0803282376651809,0.103446600191659,0.0944964725995167,0.0685082474033198,0.072516198296588,0.117997304164245,0.100540085413295,0.0904929255249175,0.0783439441150936,0.0879990412721411,0.0884299271441099,0.0739491140879359,0.105149197464424,0.0869248420779051,0.110237126273209,0.0970227856759092,0.0927663479807631,0.116252037555059,0.0921072281703646,0.104465120530743,0.0874985132189032,0.0817536149753001,0.0736000750587213,0.0890629745039257,0.0754487945928763,0.0899819967737589,0.076734029153595,0.103535675201886,0.0813482283035096
"6","Entertainment venue closure",-0.323022531949708,-0.309147292452544,-0.359571233079735,-0.304374325954577,-0.305469490343411,-0.32467345025908,-0.320259128325582,-0.310264799577858,-0.328277220260682,-0.323665166045564,-0.345903944704346,-0.305519749011017,-0.338174441728157,-0.324809080604926,-0.323265264913334,-0.325542216010448,-0.346436782902804,-0.36026489574408,-0.332054108913555,-0.315920564590476,-0.346124321304265,-0.323241245378408,-0.322163548230033,-0.32868062258475,-0.331101378176174,-0.326326408476866,-0.32984817496441,-0.313188698171961,-0.310609718611127,-0.326584403985365,-0.312121970954793,-0.324376993825727,-0.324477036327986,-0.340340553856021,-0.330080695271655,-0.322070657561024,-0.334645401153907,-0.326010750923259,-0.343599705349007,-0.329119747581259,-0.353170753685686,-0.312154830084061,-0.360979564200551,-0.306031510205209,-0.323129029310161,-0.323911042533248,-0.333531776582857,-0.312515233581985,-0.34307614692999,-0.323275746647116,-0.317254255786103,-0.315690283508346,-0.331693780123921,-0.360656505839144,-0.336287555970075,-0.325486183871816,-0.324505820213037,-0.301399317136743,-0.322824949841929,-0.307968759879714,-0.341711547486809,-0.329901571710914,-0.335427173277816,-0.328451829485554,-0.321038639224981,-0.333618371285973,-0.310543463144553,-0.359612342232668,-0.331231868688311,-0.337727498191978,-0.340757452268912,-0.356803151393363,-0.311146616000212,-0.305875724968819,-0.335120310794901,-0.346376435791367,-0.33498189433339,-0.308012659486538,-0.322638887214021,-0.33969347905133,-0.33957889861398,-0.343893435622887,-0.342427996917621,-0.334622131086296,-0.353888140892296,-0.337640433432046,-0.317930349373089,-0.333022755051052,-0.361556179807842,-0.310813513257181,-0.325404984814353,-0.32572299787702,-0.306516665093491,-0.317028811233293,-0.330275618744331,-0.319921510896637,-0.317014554844754,-0.330866551702253,-0.334029672748362,-0.306364001546312,-0.340910014343744
"7","Cultural venue closure",0.0134383886525057,0.0203418301337923,0.0152398693587562,0.0239033542713583,0.0246869461908642,1.14877904405517e-05,0.0163775359174268,0.0269506511769694,0.0276100644018069,0.0216837148774914,0.0212656070619349,0.0199858452571993,0.022556585843121,0.0300593389196719,0.00992249215840389,0.00708983739224639,0.0129748113848254,0.00482029379211331,0.0220767974231086,0.025167267670339,0.0171184165587489,0.0354826827654911,0.0295103084691781,0.0240493422393829,0.0129166750865811,0.0112239557416861,0.0320525524831807,0.0148189067716974,0.00703285992777447,0.0157541050420196,0.0257506706399428,0.0280513450645222,0.0148575159885695,0.0205384489175676,0.0189967796489058,0.0298422552323828,0.0236688123832796,0.0206867121293996,0.015534573560684,0.0163956981186561,0.0116629925960784,0.0206232231406122,0.00358489327321272,0.015002019940039,0.0100152984062127,0.0257926097151071,0.0217878159250837,0.0160476998697492,0.0187825475106163,0.0279295306082224,0.0093047305177142,0.0120510248092195,0.0153806738890475,0.0106784766803939,0.0213695747300588,0.0234902433207383,0.00662214098270635,0.00291518334819902,0.0156020036243375,0.00890733185491435,0.0164592147356847,0.00951349476150302,0.0355748705603579,0.0336973789023529,0.017145735842958,0.0161252639363181,0.0132831267736788,0.00739608243233498,0.0220035939370179,0.0301007272009196,0.0331052190361152,0.0130474279637837,0.0270927407855576,0.0273407120297955,0.0119076304819312,0.0153599693355809,0.0301508649441034,0.0147573138649793,0.0228052540781892,0.0115944176915134,0.0220161171720069,0.0277084610065212,0.0177119804974704,0.0290933472787087,0.0155812787190827,0.0270503223183337,0.00538454095646624,0.01339912434191,0.00815316498016532,0.00311138675018166,0.00674084855775499,0.0188571284445885,0.0264813382143754,0.032429532168864,0.0198767742972285,0.0282708276243895,0.0209355771193314,0.0200265973600447,0.0202427274699951,0.0269123858170097,0.0176484251402561
"8","Religious place closure",-0.307245854033272,-0.310791824332228,-0.287265440003945,-0.313077369194907,-0.313730382082675,-0.299484660708088,-0.30045615101165,-0.298038315659116,-0.291343463983791,-0.291967281106065,-0.286687212350316,-0.307351219990587,-0.282955633123282,-0.298604829142556,-0.292268666119395,-0.302233983437458,-0.285544722719784,-0.311235853449093,-0.298515405641313,-0.295081384318532,-0.289601506364563,-0.297960951394628,-0.286668147226005,-0.293795752580608,-0.307939099057406,-0.296901547142426,-0.285514820190544,-0.303011794770396,-0.309629492526316,-0.300510176160574,-0.306296343811884,-0.298497585607836,-0.290727073862807,-0.295209236738787,-0.296674753054533,-0.286740506600182,-0.294687302353036,-0.302131081277157,-0.281957974770576,-0.305990692302335,-0.308457774035979,-0.301686569689586,-0.31350850469206,-0.313450165122245,-0.308569487005,-0.296039973869217,-0.288845860236104,-0.303685268663164,-0.292063900572245,-0.289948688766614,-0.299476277987549,-0.304766344597002,-0.298049771833814,-0.297580654523518,-0.305894990154508,-0.299390335357935,-0.311921753739312,-0.325176356469044,-0.30820854673411,-0.311304016219862,-0.30366311935132,-0.297918824819819,-0.28250578520889,-0.292066708870206,-0.304442245147503,-0.288984457072187,-0.301700454397109,-0.300472456926851,-0.283489729738215,-0.283264648715138,-0.273979570462065,-0.299238669411499,-0.300141642378823,-0.307628014942616,-0.293349924460135,-0.287358300383005,-0.27859589119296,-0.311775766388304,-0.293969100890531,-0.287989692025554,-0.287998474920556,-0.27970256000367,-0.293888456399685,-0.29277478596098,-0.292301730361832,-0.283056188080699,-0.30325576633312,-0.29965688980685,-0.300983572961981,-0.311972929072957,-0.296017396741145,-0.299947018928472,-0.304894346685063,-0.299515602944232,-0.297775469224987,-0.302747796164021,-0.298875308966267,-0.296748956813432,-0.288683035066966,-0.307487237660354,-0.299144179546904
"9","Indoor sports closure",0.0315248846542007,0.00853788682830944,0.0324618493414481,0.0267444935504754,0.0237662569153674,6.78170763168558e-05,0.0306577018723693,0.0209702487978719,0.0434693546334513,0.0421082256212367,0.0430842013269036,0.0186531762731059,0.0289862279891465,0.0312670736148166,0.0018603542852572,0.0215659413697001,0.0446893398620158,0.0111396752456709,0.0346506450419642,0.0279502498492929,0.0363675771098549,0.0511781227313984,0.0345515651549383,0.0352620592255942,0.0283523011592699,0.0300938557314163,0.0472779678977544,0.00624858022722887,0.0045020857784888,0.0341247104492159,0.0283773356868952,0.0410281325841475,0.0178525805864138,0.034997774613101,0.0242366472274643,0.039990084039095,0.0307827707761259,0.0384734983385704,0.0280805603340832,0.0310203936267723,0.0243721286855795,0.0115362882910278,0.0136949527657488,0.00169793784560409,0.028862068634074,0.0271417094573037,0.0421975454673361,0.00875069317424683,0.0253943586451102,0.0402654943047738,0.0128240761072394,0.0202676458197226,0.0220766120268361,0.0335622049471381,0.026292666072028,0.0461350080403048,0.0146076580598401,-0.0122620317822282,0.0336016620093936,0.00424114854625187,0.0218047307444336,0.0285124161649155,0.0535972942983616,0.0487070098562235,0.035187090973638,0.0310710185036021,0.00422649323115535,0.0114109999726682,0.0303691671037024,0.0325039989435135,0.0442379684082738,0.0253782058525753,0.033289220001126,0.0220404008709479,0.0312599781968996,0.0323831708117367,0.0492183186442609,0.00352180434488476,0.0334293901181896,0.0192878269609454,0.0417830395422179,0.0409666569329655,0.0150594292920052,0.0485361187459156,0.0252778661295502,0.0316376378415937,-0.000936622682444816,0.0302399516973934,0.0144215291342384,0.00245875473601392,0.0130024388649217,0.0335544180121773,0.027107188204367,0.0484502907165588,0.0327588215037442,0.0396793920618145,0.0364973544148367,0.0384975780617561,0.0342936080884563,0.0164007790129286,0.0223619073931348
"10","Outdoor sports closure",0.0796960545198189,0.0966583024688016,0.0838575154761922,0.0711568090874402,0.0759195150549729,0.108247108544339,0.0803439180377915,0.07606397892168,0.0707392868231093,0.0784949520183569,0.0879512880947553,0.0675656057347478,0.0864542587971713,0.0338010857958129,0.0582150771409204,0.0768232374833715,0.0935218807298255,0.0960294132096666,0.0586777500464515,0.0696234560456944,0.0743095488155428,0.0671186453576598,0.074777214209963,0.0883274767238188,0.0860810185039473,0.0807029291736421,0.0832019651329515,0.0599156563935577,0.0783424551758732,0.0749336901963833,0.079404487696557,0.0650317561106106,0.0861577216157117,0.0843592747117922,0.0514783767924378,0.078517027148347,0.0602307384620517,0.0577209743157507,0.0628585581379076,0.0926004425405307,0.102964873626764,0.06731897922025,0.0923010325380508,0.0710887920157594,0.0805539923946215,0.0509427409241978,0.0616442673394764,0.0671717826809186,0.0608786026556155,0.0929102989900227,0.0789546304882481,0.0804386116707442,0.0638086107399936,0.102810694003064,0.0786307903990257,0.059300357458651,0.0900536052897451,0.100303656538102,0.0709576857436044,0.0855529414465935,0.0396235562194564,0.0853477106496965,0.0826587312767076,0.049243959069349,0.0757880028648105,0.0800309904602997,0.0662781655150353,0.0795614640397261,0.066995900557324,0.054179680960412,0.0567629463236993,0.0798627661254591,0.0794928205406529,0.0623999104337965,0.093263194262276,0.0678083122369736,0.0643082087061488,0.10913458888906,0.0641494097765907,0.096744056524596,0.0616667151011954,0.08183932062729,0.0859645799513599,0.0762174049089115,0.0915879185548943,0.0781588988683101,0.107267890548796,0.0703219175082085,0.0705598709989832,0.0848628585475844,0.0852813043558956,0.0955565250019154,0.0659790821324502,0.0636318115310087,0.0740872848665848,0.0626164305024242,0.0893315534099605,0.0647462518416037,0.0646429671249664,0.059263885249721,0.0703790662783935
