,policy,effect_08,se_effect_08,ci_08_0.95,effect_placebo,se_placebo,ci_placebo_0.95
1,Stay-at-home,-0.00936988,0.099753478,0.391033633,0.039227645,0.055281822,0.216704742
2,School+childcare closure,0.355578856,0.045178667,0.177100375,0.052776069,0.137519031,0.5390746
3,Office closure,0.057780282,0.095964397,0.376180437,-0.037062627,0.0999606,0.391845552
4,Non-essential retail closure,-0.118114987,0.13438187,0.526776931,-0.049574383,0.042630686,0.16711229
5,Restaurant closure,-0.05230418,0.115643896,0.453324073,-0.042126636,0.078168795,0.306421677
6,Bar closure,-0.003915087,0.119525419,0.468539644,-0.002618488,0.109560489,0.429477118
7,Entertainment venue closure,0.048016357,0.174347815,0.683443436,0.003039375,0.104531864,0.409764906
8,Cultural venue closure,-0.175003236,0.166150564,0.651310212,-0.097052095,0.086382805,0.338620594
9,Religious place closure,0.060379089,0.300307361,1.177204855,0.014263525,0.08481901,0.332490519
10,Indoor sports closure,0.081166109,0.227024273,0.889935149,-0.032348887,0.082974677,0.325260732
11,Outdoor sports closure,-0.04217607,0.084455101,0.331063996,-0.021368359,0.120266371,0.471444173
12,No gathering <=10 (indoor+outdoor),-0.052941237,0.014163647,0.055521495,-0.034404001,0.079616616,0.312097134
13,No gathering >10 (indoor+outdoor),-0.08584129,0.011505356,0.045100995,-0.012091594,0.050779658,0.199056261
