,policy,effect_08,se_effect_08,ci_08_0.95,effect_placebo,se_placebo,ci_placebo_0.95
1,Stay-at-home,-0.061264555,0.087959633,0.34480176,-0.009359943,0.018911498,0.074133072
2,School closure,-0.040774521,0.205546228,0.805741214,-0.000649107,0.046944838,0.184023765
3,Childcare closure,0.211899737,0.177394732,0.695387351,-0.009125825,0.03820172,0.149750743
4,Non-essential retail closure,0.111020973,0.124140918,0.486632399,-0.001904231,0.031592605,0.12384301
5,Restaurant closure,0.054453401,0.186638054,0.731621172,-0.038709249,0.029039886,0.113836352
6,Bar closure,-0.035834386,0.195276311,0.765483138,-0.045894448,0.028829716,0.113012485
7,Entertainment venue closure,-0.006247641,0.164197173,0.64365292,-0.028531205,0.025328009,0.099285796
8,Cultural venue closure,-0.059068637,0.143447536,0.56231434,-0.024591371,0.028758544,0.112733491
9,Religious place closure,0.260066805,0.206223902,0.808397695,-0.025212834,0.046153398,0.180921319
10,Indoor sports closure,-0.035543454,0.149907997,0.587639348,-0.003323253,0.031387071,0.123037318
11,Outdoor sports closure,-0.142288841,0.253297396,0.992925793,0.020076094,0.052796371,0.206961776
12,No outdoor gathering <=10,0.004689947,0.094608876,0.370866792,-0.021810347,0.026142802,0.102479784
13,No outdoor gathering >10,0.407853053,0.136670456,0.535748189,-0.016136865,0.056929858,0.223165044
