"","eng","Day","state","cumulative","add"
"1","Berlin",2020-03-02,"Berlin",0,NA
"2","Berlin",2020-03-03,"Berlin",6,6
"3","Berlin",2020-03-04,"Berlin",9,3
"4","Berlin",2020-03-05,"Berlin",19,10
"5","Berlin",2020-03-06,"Berlin",24,5
"6","Berlin",2020-03-07,"Berlin",25,1
"7","Berlin",2020-03-08,"Berlin",36,11
"8","Berlin",2020-03-09,"Berlin",58,22
"9","Berlin",2020-03-10,"Berlin",92,34
"10","Berlin",2020-03-11,"Berlin",134,42
"11","Berlin",2020-03-12,"Berlin",181,47
"12","Berlin",2020-03-13,"Berlin",240,59
"13","Berlin",2020-03-14,"Berlin",269,29
"14","Berlin",2020-03-15,"Berlin",295,26
"15","Berlin",2020-03-16,"Berlin",358,63
"16","Berlin",2020-03-17,"Berlin",451,93
"17","Berlin",2020-03-18,"Berlin",597,146
"18","Berlin",2020-03-19,"Berlin",777,180
"19","Berlin",2020-03-20,"Berlin",947,170
"20","Berlin",2020-03-21,"Berlin",1075,128
"21","Berlin",2020-03-22,"Berlin",1143,68
"22","Berlin",2020-03-23,"Berlin",1302,159
"23","Berlin",2020-03-24,"Berlin",1501,199
"24","Berlin",2020-03-25,"Berlin",1746,245
"25","Berlin",2020-03-26,"Berlin",2032,286
"26","Berlin",2020-03-27,"Berlin",2237,205
"27","Berlin",2020-03-28,"Berlin",2434,197
"28","Berlin",2020-03-29,"Berlin",2521,87
"29","Berlin",2020-03-30,"Berlin",2688,167
"30","Berlin",2020-03-31,"Berlin",2901,213
"31","Berlin",2020-04-01,"Berlin",3088,187
"32","Berlin",2020-04-02,"Berlin",3326,238
"33","Berlin",2020-04-03,"Berlin",3565,239
"34","Berlin",2020-04-04,"Berlin",3673,108
"35","Berlin",2020-04-05,"Berlin",3751,78
"36","Berlin",2020-04-06,"Berlin",3895,144
"37","Berlin",2020-04-07,"Berlin",4097,202
"38","Berlin",2020-04-08,"Berlin",4275,178
"39","Berlin",2020-04-09,"Berlin",4451,176
"40","Berlin",2020-04-10,"Berlin",4533,82
"41","Berlin",2020-04-11,"Berlin",4620,87
"42","Berlin",2020-04-12,"Berlin",4674,54
"43","Berlin",2020-04-13,"Berlin",4733,59
"44","Berlin",2020-04-14,"Berlin",4807,74
"45","Berlin",2020-04-15,"Berlin",4920,113
"46","Berlin",2020-04-16,"Berlin",5014,94
"47","Berlin",2020-04-17,"Berlin",5134,120
"48","Berlin",2020-04-18,"Berlin",5216,82
"49","Berlin",2020-04-19,"Berlin",5249,33
"50","Berlin",2020-04-20,"Berlin",5294,45
"51","Berlin",2020-04-21,"Berlin",5370,76
"52","Berlin",2020-04-22,"Berlin",5451,81
"53","Berlin",2020-04-23,"Berlin",5538,87
"54","Berlin",2020-04-24,"Berlin",5611,73
"55","Berlin",2020-04-25,"Berlin",5666,55
"56","Berlin",2020-04-26,"Berlin",5687,21
"57","Berlin",2020-04-27,"Berlin",5743,56
"58","Berlin",2020-04-28,"Berlin",5822,79
"59","Berlin",2020-04-29,"Berlin",5890,68
"60","Berlin",2020-04-30,"Berlin",5947,57
"61","Berlin",2020-05-01,"Berlin",5972,25
"62","Berlin",2020-05-02,"Berlin",6003,31
"63","Berlin",2020-05-03,"Berlin",6035,32
"64","Berlin",2020-05-04,"Berlin",6087,52
"65","Berlin",2020-05-05,"Berlin",6140,53
"66","Berlin",2020-05-06,"Berlin",6198,58
"67","Berlin",2020-05-07,"Berlin",6256,58
"68","Berlin",2020-05-08,"Berlin",6260,4
"69","Berlin",2020-05-09,"Berlin",6277,17
"70","Berlin",2020-05-10,"Berlin",6285,8
"71","Berlin",2020-05-11,"Berlin",6302,17
"72","Berlin",2020-05-12,"Berlin",6339,37
"73","Berlin",2020-05-13,"Berlin",6397,58
"74","Berlin",2020-05-14,"Berlin",6442,45
"75","Berlin",2020-05-15,"Berlin",6458,16
"76","Berlin",2020-05-16,"Berlin",6474,16
"77","Berlin",2020-05-17,"Berlin",6482,8
"78","Berlin",2020-05-18,"Berlin",6515,33
"79","Berlin",2020-05-19,"Berlin",6561,46
"80","Berlin",2020-05-20,"Berlin",6609,48
"81","Berlin",2020-05-21,"Berlin",6619,10
"82","Berlin",2020-05-22,"Berlin",6655,36
"83","Berlin",2020-05-23,"Berlin",6663,8
"84","Berlin",2020-05-24,"Berlin",6666,3
"85","Berlin",2020-05-25,"Berlin",6688,22
"86","Berlin",2020-05-26,"Berlin",6710,22
"87","Berlin",2020-05-27,"Berlin",6752,42
"88","Berlin",2020-05-28,"Berlin",6777,25
"89","Berlin",2020-05-29,"Berlin",6807,30
"90","Berlin",2020-05-30,"Berlin",6830,23
"91","Berlin",2020-05-31,"Berlin",6857,27
"92","Berlin",2020-06-01,"Berlin",6859,2
