"","eng","pref","date","daily_cases","new_cases","city_id","date_id","add"
"1","Tokyo","_±äº¬_","2020/2/20",25,NA,0,0,NA
"2","Tokyo","_±äº¬_","2020/2/21",26,1,1,1,1
"3","Tokyo","_±äº¬_","2020/2/22",28,2,2,2,2
"4","Tokyo","_±äº¬_","2020/2/23",29,1,3,3,1
"5","Tokyo","_±äº¬_","2020/2/24",32,3,4,4,3
"6","Tokyo","_±äº¬_","2020/2/25",34,2,5,5,2
"7","Tokyo","_±äº¬_","2020/2/26",35,1,6,6,1
"8","Tokyo","_±äº¬_","2020/2/27",36,1,7,7,1
"9","Tokyo","_±äº¬_","2020/2/28",36,0,8,8,0
"10","Tokyo","_±äº¬_","2020/2/29",38,2,9,9,2
"11","Tokyo","_±äº¬_","2020/3/1",39,1,10,10,1
"12","Tokyo","_±äº¬_","2020/3/2",42,3,11,11,3
"13","Tokyo","_±äº¬_","2020/3/3",46,4,12,12,4
"14","Tokyo","_±äº¬_","2020/3/4",49,3,13,13,3
"15","Tokyo","_±äº¬_","2020/3/5",52,3,14,14,3
"16","Tokyo","_±äº¬_","2020/3/6",58,6,15,15,6
"17","Tokyo","_±äº¬_","2020/3/7",64,6,16,16,6
"18","Tokyo","_±äº¬_","2020/3/8",64,0,17,17,0
"19","Tokyo","_±äº¬_","2020/3/9",64,0,18,18,0
"20","Tokyo","_±äº¬_","2020/3/10",67,3,19,19,3
"21","Tokyo","_±äº¬_","2020/3/11",71,4,20,20,4
"22","Tokyo","_±äº¬_","2020/3/12",75,4,21,21,4
"23","Tokyo","_±äº¬_","2020/3/13",77,2,22,22,2
"24","Tokyo","_±äº¬_","2020/3/14",77,0,23,23,0
"25","Tokyo","_±äº¬_","2020/3/15",90,13,24,24,13
"26","Tokyo","_±äº¬_","2020/3/16",90,0,25,25,0
"27","Tokyo","_±äº¬_","2020/3/17",102,12,26,26,12
"28","Tokyo","_±äº¬_","2020/3/18",111,9,27,27,9
"29","Tokyo","_±äº¬_","2020/3/19",120,9,28,28,9
"30","Tokyo","_±äº¬_","2020/3/20",129,9,29,29,9
"31","Tokyo","_±äº¬_","2020/3/21",134,5,30,30,5
"32","Tokyo","_±äº¬_","2020/3/22",138,4,31,31,4
"33","Tokyo","_±äº¬_","2020/3/23",154,16,32,32,16
"34","Tokyo","_±äº¬_","2020/3/24",190,36,33,33,36
"35","Tokyo","_±äº¬_","2020/3/25",226,36,34,34,36
"36","Tokyo","_±äº¬_","2020/3/26",263,37,35,35,37
"37","Tokyo","_±äº¬_","2020/3/27",299,36,36,36,36
"38","Tokyo","_±äº¬_","2020/3/28",362,63,37,37,63
"39","Tokyo","_±äº¬_","2020/3/29",430,68,38,38,68
"40","Tokyo","_±äº¬_","2020/3/30",482,52,39,39,52
"41","Tokyo","_±äº¬_","2020/3/31",535,53,40,40,53
"42","Tokyo","_±äº¬_","2020/4/1",587,52,41,41,52
"43","Tokyo","_±äº¬_","2020/4/2",684,97,42,42,97
"44","Tokyo","_±äº¬_","2020/4/3",773,89,43,43,89
"45","Tokyo","_±äº¬_","2020/4/4",891,118,0,44,118
"46","Tokyo","_±äº¬_","2020/4/5",1033,142,1,45,142
"47","Tokyo","_±äº¬_","2020/4/6",1116,83,2,46,83
"48","Tokyo","_±äº¬_","2020/4/7",1195,79,3,47,79
"49","Tokyo","_±äº¬_","2020/4/8",1357,162,4,48,162
"50","Tokyo","_±äº¬_","2020/4/9",1519,162,5,49,162
"51","Tokyo","_±äº¬_","2020/4/10",1705,186,6,50,186
"52","Tokyo","_±äº¬_","2020/4/11",1902,197,7,51,197
"53","Tokyo","_±äº¬_","2020/4/12",2068,166,8,52,166
"54","Tokyo","_±äº¬_","2020/4/13",2158,90,9,53,90
"55","Tokyo","_±äº¬_","2020/4/14",2319,161,10,54,161
"56","Tokyo","_±äº¬_","2020/4/15",2446,127,11,55,127
"57","Tokyo","_±äº¬_","2020/4/16",2595,149,12,56,149
