"","div","date","eng","daily_cases","new_cases","date_id","add"
"1","Seoul","2020/1/20","Seoul",0,NA,0,NA
"2","Seoul","2020/1/21","Seoul",0,0,1,0
"3","Seoul","2020/1/22","Seoul",0,0,2,0
"4","Seoul","2020/1/23","Seoul",0,0,3,0
"5","Seoul","2020/1/24","Seoul",0,0,4,0
"6","Seoul","2020/1/25","Seoul",0,0,5,0
"7","Seoul","2020/1/26","Seoul",0,0,6,0
"8","Seoul","2020/1/27","Seoul",22,22,7,22
"9","Seoul","2020/1/28","Seoul",22,0,8,0
"10","Seoul","2020/1/29","Seoul",22,0,9,0
"11","Seoul","2020/1/30","Seoul",66,44,10,44
"12","Seoul","2020/1/31","Seoul",88,22,11,22
"13","Seoul","2020/2/1","Seoul",88,0,12,0
"14","Seoul","2020/2/2","Seoul",110,22,13,22
"15","Seoul","2020/2/3","Seoul",110,0,14,0
"16","Seoul","2020/2/4","Seoul",110,0,15,0
"17","Seoul","2020/2/5","Seoul",110,0,16,0
"18","Seoul","2020/2/6","Seoul",220,110,17,110
"19","Seoul","2020/2/7","Seoul",242,22,18,22
"20","Seoul","2020/2/8","Seoul",242,0,19,0
"21","Seoul","2020/2/9","Seoul",308,66,20,66
"22","Seoul","2020/2/10","Seoul",308,0,21,0
"23","Seoul","2020/2/11","Seoul",308,0,22,0
"24","Seoul","2020/2/12","Seoul",308,0,23,0
"25","Seoul","2020/2/13","Seoul",308,0,24,0
"26","Seoul","2020/2/14","Seoul",308,0,25,0
"27","Seoul","2020/2/15","Seoul",308,0,26,0
"28","Seoul","2020/2/16","Seoul",308,0,27,0
"29","Seoul","2020/2/17","Seoul",308,0,28,0
"30","Seoul","2020/2/18","Seoul",308,0,29,0
"31","Seoul","2020/2/19","Seoul",440,132,30,132
"32","Seoul","2020/2/20","Seoul",484,44,31,44
"33","Seoul","2020/2/21","Seoul",594,110,32,110
"34","Seoul","2020/2/22","Seoul",660,66,33,66
"35","Seoul","2020/2/23","Seoul",682,22,34,22
"36","Seoul","2020/2/24","Seoul",770,88,35,88
"37","Seoul","2020/2/25","Seoul",902,132,36,132
"38","Seoul","2020/2/26","Seoul",1078,176,37,176
"39","Seoul","2020/2/27","Seoul",1232,154,38,154
"40","Seoul","2020/2/28","Seoul",1364,132,39,132
"41","Seoul","2020/2/29","Seoul",1694,330,40,330
"42","Seoul","2020/3/1","Seoul",1914,220,41,220
"43","Seoul","2020/3/2","Seoul",2002,88,42,88
"44","Seoul","2020/3/3","Seoul",2156,154,43,154
"45","Seoul","2020/3/4","Seoul",2178,22,44,22
"46","Seoul","2020/3/5","Seoul",2266,88,45,88
"47","Seoul","2020/3/6","Seoul",2310,44,46,44
"48","Seoul","2020/3/7","Seoul",2376,66,47,66
"49","Seoul","2020/3/8","Seoul",2640,264,48,264
"50","Seoul","2020/3/9","Seoul",2860,220,49,220
"51","Seoul","2020/3/10","Seoul",3102,242,50,242
"52","Seoul","2020/3/11","Seoul",4246,1144,51,1144
"53","Seoul","2020/3/12","Seoul",4664,418,52,418
"54","Seoul","2020/3/13","Seoul",4950,286,53,286
"55","Seoul","2020/3/14","Seoul",5236,286,54,286
"56","Seoul","2020/3/15","Seoul",5434,198,55,198
"57","Seoul","2020/3/16","Seoul",5566,132,56,132
"58","Seoul","2020/3/17","Seoul",5830,264,57,264
"59","Seoul","2020/3/18","Seoul",5940,110,58,110
"60","Seoul","2020/3/19","Seoul",6204,264,59,264
"61","Seoul","2020/3/20","Seoul",6578,374,60,374
"62","Seoul","2020/3/21","Seoul",6908,330,61,330
"63","Seoul","2020/3/22","Seoul",7128,220,62,220
"64","Seoul","2020/3/23","Seoul",7260,132,63,132
"65","Seoul","2020/3/24","Seoul",7348,88,64,88
"66","Seoul","2020/3/25","Seoul",7634,286,65,286
"67","Seoul","2020/3/26","Seoul",7920,286,66,286
"68","Seoul","2020/3/27","Seoul",8184,264,67,264
"69","Seoul","2020/3/28","Seoul",8580,396,68,396
"70","Seoul","2020/3/29","Seoul",9020,440,69,440
"71","Seoul","2020/3/30","Seoul",9372,352,70,352
"72","Seoul","2020/3/31","Seoul",9900,528,71,528
"73","Seoul","2020/4/1","Seoul",10428,528,72,528
"74","Seoul","2020/4/2","Seoul",10736,308,73,308
"75","Seoul","2020/4/3","Seoul",11132,396,74,396
"76","Seoul","2020/4/4","Seoul",11616,484,75,484
"77","Seoul","2020/4/5","Seoul",12144,528,76,528
"78","Seoul","2020/4/6","Seoul",12386,242,77,242
"79","Seoul","2020/4/7","Seoul",12474,88,78,88
"80","Seoul","2020/4/8","Seoul",12716,242,79,242
"81","Seoul","2020/4/9","Seoul",12980,264,80,264
"82","Seoul","2020/4/10","Seoul",13090,110,81,110
"83","Seoul","2020/4/11","Seoul",13178,88,82,88
"84","Seoul","2020/4/12","Seoul",13244,66,83,66
"85","Seoul","2020/4/13","Seoul",13420,176,84,176
"86","Seoul","2020/4/14","Seoul",13464,44,85,44
"87","Seoul","2020/4/15","Seoul",13574,110,86,110
"88","Seoul","2020/4/16","Seoul",13618,44,87,44
"89","Seoul","2020/4/17","Seoul",13662,44,88,44
"90","Seoul","2020/4/18","Seoul",13684,22,89,22
"91","Seoul","2020/4/19","Seoul",13728,44,90,44
"92","Seoul","2020/4/20","Seoul",13728,0,91,0
"93","Seoul","2020/4/21","Seoul",13772,44,92,44
"94","Seoul","2020/4/22","Seoul",13816,44,93,44
"95","Seoul","2020/4/23","Seoul",13816,0,94,0
"96","Seoul","2020/4/24","Seoul",13816,0,95,0
"97","Seoul","2020/4/25","Seoul",13838,22,96,22
"98","Seoul","2020/4/26","Seoul",13838,0,97,0
"99","Seoul","2020/4/27","Seoul",13838,0,98,0
"100","Seoul","2020/4/28","Seoul",13926,88,99,88
"101","Seoul","2020/4/29","Seoul",13926,0,100,0
"102","Seoul","2020/4/30","Seoul",13926,0,101,0
"103","Seoul","2020/5/1","Seoul",13948,22,102,22
"104","Seoul","2020/5/2","Seoul",13970,22,103,22
"105","Seoul","2020/5/3","Seoul",14014,44,104,44
"106","Seoul","2020/5/4","Seoul",14014,0,105,0
"107","Seoul","2020/5/5","Seoul",14014,0,106,0
"108","Seoul","2020/5/6","Seoul",14014,0,107,0
"109","Seoul","2020/5/7","Seoul",14014,0,108,0
"110","Seoul","2020/5/8","Seoul",14014,0,109,0
"111","Seoul","2020/5/9","Seoul",14278,264,110,264
"112","Seoul","2020/5/10","Seoul",14586,308,111,308
"113","Seoul","2020/5/11","Seoul",15026,440,112,440
"114","Seoul","2020/5/12","Seoul",15290,264,113,264
"115","Seoul","2020/5/13","Seoul",15554,264,114,264
"116","Seoul","2020/5/14","Seoul",15642,88,115,88
"117","Seoul","2020/5/15","Seoul",15950,308,116,308
"118","Seoul","2020/5/16","Seoul",16060,110,117,110
"119","Seoul","2020/5/17","Seoul",16170,110,118,110
"120","Seoul","2020/5/18","Seoul",16192,22,119,22
"121","Seoul","2020/5/19","Seoul",16324,132,120,132
"122","Seoul","2020/5/20","Seoul",16544,220,121,220
"123","Seoul","2020/5/21","Seoul",16632,88,122,88
"124","Seoul","2020/5/22","Seoul",16676,44,123,44
"125","Seoul","2020/5/23","Seoul",16764,88,124,88
"126","Seoul","2020/5/24","Seoul",16896,132,125,132
"127","Seoul","2020/5/25","Seoul",17028,132,126,132
"128","Seoul","2020/5/26","Seoul",17226,198,127,198
"129","Seoul","2020/5/27","Seoul",17644,418,128,418
"130","Seoul","2020/5/28","Seoul",18172,528,129,528
"131","Seoul","2020/5/29","Seoul",18612,440,130,440
"132","Seoul","2020/5/30","Seoul",18810,198,131,198
"133","Seoul","2020/5/31","Seoul",18942,132,132,132
"134","Seoul","2020/6/1","Seoul",18964,22,133,22
"135","Seoul","2020/6/2","Seoul",19272,308,134,308
"136","Seoul","2020/6/3","Seoul",19690,418,135,418
"137","Seoul","2020/6/4","Seoul",19998,308,136,308
"138","Seoul","2020/6/5","Seoul",20328,330,137,330
"139","Seoul","2020/6/6","Seoul",20834,506,138,506
"140","Seoul","2020/6/7","Seoul",21428,594,139,594
"141","Seoul","2020/6/8","Seoul",21912,484,140,484
"142","Seoul","2020/6/9","Seoul",22330,418,141,418
"143","Seoul","2020/6/10","Seoul",22594,264,142,264
"144","Seoul","2020/6/11","Seoul",23056,462,143,462
"145","Seoul","2020/6/12","Seoul",23606,550,144,550
"146","Seoul","2020/6/13","Seoul",24222,616,145,616
"147","Seoul","2020/6/14","Seoul",24486,264,146,264
"148","Seoul","2020/6/15","Seoul",24640,154,147,154
"149","Seoul","2020/6/16","Seoul",24904,264,148,264
"150","Seoul","2020/6/17","Seoul",25190,286,149,286
"151","Seoul","2020/6/18","Seoul",25740,550,150,550
"152","Seoul","2020/6/19","Seoul",26136,396,151,396
"153","Seoul","2020/6/20","Seoul",26444,308,152,308
"154","Seoul","2020/6/21","Seoul",26818,374,153,374
"155","Seoul","2020/6/22","Seoul",26928,110,154,110
"156","Seoul","2020/6/23","Seoul",27060,132,155,132
"157","Seoul","2020/6/24","Seoul",27302,242,156,242
"158","Seoul","2020/6/25","Seoul",27500,198,157,198
"159","Seoul","2020/6/26","Seoul",27874,374,158,374
"160","Seoul","2020/6/27","Seoul",28248,374,159,374
"161","Seoul","2020/6/28","Seoul",28556,308,160,308
"162","Seoul","2020/6/29","Seoul",28710,154,161,154
"163","Seoul","2020/6/30","Seoul",28864,154,162,154
"164","Busan","2020/1/20","Busan",0,NA,0,NA
"165","Busan","2020/1/21","Busan",0,0,1,0
"166","Busan","2020/1/22","Busan",0,0,2,0
"167","Busan","2020/1/23","Busan",0,0,3,0
"168","Busan","2020/1/24","Busan",0,0,4,0
"169","Busan","2020/1/25","Busan",0,0,5,0
"170","Busan","2020/1/26","Busan",0,0,6,0
"171","Busan","2020/1/27","Busan",0,0,7,0
"172","Busan","2020/1/28","Busan",0,0,8,0
"173","Busan","2020/1/29","Busan",0,0,9,0
"174","Busan","2020/1/30","Busan",0,0,10,0
"175","Busan","2020/1/31","Busan",0,0,11,0
"176","Busan","2020/2/1","Busan",0,0,12,0
"177","Busan","2020/2/2","Busan",0,0,13,0
"178","Busan","2020/2/3","Busan",0,0,14,0
"179","Busan","2020/2/4","Busan",0,0,15,0
"180","Busan","2020/2/5","Busan",0,0,16,0
"181","Busan","2020/2/6","Busan",0,0,17,0
"182","Busan","2020/2/7","Busan",0,0,18,0
"183","Busan","2020/2/8","Busan",0,0,19,0
"184","Busan","2020/2/9","Busan",0,0,20,0
"185","Busan","2020/2/10","Busan",0,0,21,0
"186","Busan","2020/2/11","Busan",0,0,22,0
"187","Busan","2020/2/12","Busan",0,0,23,0
"188","Busan","2020/2/13","Busan",0,0,24,0
"189","Busan","2020/2/14","Busan",0,0,25,0
"190","Busan","2020/2/15","Busan",0,0,26,0
"191","Busan","2020/2/16","Busan",0,0,27,0
"192","Busan","2020/2/17","Busan",0,0,28,0
"193","Busan","2020/2/18","Busan",0,0,29,0
"194","Busan","2020/2/19","Busan",0,0,30,0
"195","Busan","2020/2/20","Busan",48,48,31,48
"196","Busan","2020/2/21","Busan",48,0,32,0
"197","Busan","2020/2/22","Busan",66,18,33,18
"198","Busan","2020/2/23","Busan",114,48,34,48
"199","Busan","2020/2/24","Busan",204,90,35,90
"200","Busan","2020/2/25","Busan",252,48,36,48
"201","Busan","2020/2/26","Busan",348,96,37,96
"202","Busan","2020/2/27","Busan",366,18,38,18
"203","Busan","2020/2/28","Busan",390,24,39,24
"204","Busan","2020/2/29","Busan",480,90,40,90
"205","Busan","2020/3/1","Busan",498,18,41,18
"206","Busan","2020/3/2","Busan",528,30,42,30
"207","Busan","2020/3/3","Busan",540,12,43,12
"208","Busan","2020/3/4","Busan",552,12,44,12
"209","Busan","2020/3/5","Busan",552,0,45,0
"210","Busan","2020/3/6","Busan",570,18,46,18
"211","Busan","2020/3/7","Busan",576,6,47,6
"212","Busan","2020/3/8","Busan",576,0,48,0
"213","Busan","2020/3/9","Busan",576,0,49,0
"214","Busan","2020/3/10","Busan",576,0,50,0
"215","Busan","2020/3/11","Busan",588,12,51,12
"216","Busan","2020/3/12","Busan",594,6,52,6
"217","Busan","2020/3/13","Busan",600,6,53,6
"218","Busan","2020/3/14","Busan",618,18,54,18
"219","Busan","2020/3/15","Busan",636,18,55,18
"220","Busan","2020/3/16","Busan",642,6,56,6
"221","Busan","2020/3/17","Busan",642,0,57,0
"222","Busan","2020/3/18","Busan",642,0,58,0
"223","Busan","2020/3/19","Busan",642,0,59,0
"224","Busan","2020/3/20","Busan",648,6,60,6
"225","Busan","2020/3/21","Busan",648,0,61,0
"226","Busan","2020/3/22","Busan",648,0,62,0
"227","Busan","2020/3/23","Busan",654,6,63,6
"228","Busan","2020/3/24","Busan",666,12,64,12
"229","Busan","2020/3/25","Busan",672,6,65,6
"230","Busan","2020/3/26","Busan",672,0,66,0
"231","Busan","2020/3/27","Busan",678,6,67,6
"232","Busan","2020/3/28","Busan",684,6,68,6
"233","Busan","2020/3/29","Busan",702,18,69,18
"234","Busan","2020/3/30","Busan",708,6,70,6
"235","Busan","2020/3/31","Busan",714,6,71,6
"236","Busan","2020/4/1","Busan",732,18,72,18
"237","Busan","2020/4/2","Busan",732,0,73,0
"238","Busan","2020/4/3","Busan",732,0,74,0
"239","Busan","2020/4/4","Busan",732,0,75,0
"240","Busan","2020/4/5","Busan",732,0,76,0
"241","Busan","2020/4/6","Busan",732,0,77,0
"242","Busan","2020/4/7","Busan",738,6,78,6
"243","Busan","2020/4/8","Busan",750,12,79,12
"244","Busan","2020/4/9","Busan",750,0,80,0
"245","Busan","2020/4/10","Busan",756,6,81,6
"246","Busan","2020/4/11","Busan",756,0,82,0
"247","Busan","2020/4/12","Busan",756,0,83,0
"248","Busan","2020/4/13","Busan",756,0,84,0
"249","Busan","2020/4/14","Busan",756,0,85,0
"250","Busan","2020/4/15","Busan",762,6,86,6
"251","Busan","2020/4/16","Busan",780,18,87,18
"252","Busan","2020/4/17","Busan",780,0,88,0
"253","Busan","2020/4/18","Busan",780,0,89,0
"254","Busan","2020/4/19","Busan",780,0,90,0
"255","Busan","2020/4/20","Busan",792,12,91,12
"256","Busan","2020/4/21","Busan",792,0,92,0
"257","Busan","2020/4/22","Busan",804,12,93,12
"258","Busan","2020/4/23","Busan",810,6,94,6
"259","Busan","2020/4/24","Busan",816,6,95,6
"260","Busan","2020/4/25","Busan",816,0,96,0
"261","Busan","2020/4/26","Busan",822,6,97,6
"262","Busan","2020/4/27","Busan",822,0,98,0
"263","Busan","2020/4/28","Busan",822,0,99,0
"264","Busan","2020/4/29","Busan",822,0,100,0
"265","Busan","2020/4/30","Busan",822,0,101,0
"266","Busan","2020/5/1","Busan",822,0,102,0
"267","Busan","2020/5/2","Busan",828,6,103,6
"268","Busan","2020/5/3","Busan",828,0,104,0
"269","Busan","2020/5/4","Busan",828,0,105,0
"270","Busan","2020/5/5","Busan",828,0,106,0
"271","Busan","2020/5/6","Busan",828,0,107,0
"272","Busan","2020/5/7","Busan",828,0,108,0
"273","Busan","2020/5/8","Busan",840,12,109,12
"274","Busan","2020/5/9","Busan",846,6,110,6
"275","Busan","2020/5/10","Busan",846,0,111,0
"276","Busan","2020/5/11","Busan",846,0,112,0
"277","Busan","2020/5/12","Busan",846,0,113,0
"278","Busan","2020/5/13","Busan",864,18,114,18
"279","Busan","2020/5/14","Busan",864,0,115,0
"280","Busan","2020/5/15","Busan",864,0,116,0
"281","Busan","2020/5/16","Busan",864,0,117,0
"282","Busan","2020/5/17","Busan",864,0,118,0
"283","Busan","2020/5/18","Busan",864,0,119,0
"284","Busan","2020/5/19","Busan",864,0,120,0
"285","Busan","2020/5/20","Busan",864,0,121,0
"286","Busan","2020/5/21","Busan",864,0,122,0
"287","Busan","2020/5/22","Busan",864,0,123,0
"288","Busan","2020/5/23","Busan",864,0,124,0
"289","Busan","2020/5/24","Busan",864,0,125,0
"290","Busan","2020/5/25","Busan",864,0,126,0
"291","Busan","2020/5/26","Busan",864,0,127,0
"292","Busan","2020/5/27","Busan",864,0,128,0
"293","Busan","2020/5/28","Busan",870,6,129,6
"294","Busan","2020/5/29","Busan",870,0,130,0
"295","Busan","2020/5/30","Busan",876,6,131,6
"296","Busan","2020/5/31","Busan",882,6,132,6
"297","Busan","2020/6/1","Busan",882,0,133,0
"298","Busan","2020/6/2","Busan",882,0,134,0
"299","Busan","2020/6/3","Busan",882,0,135,0
"300","Busan","2020/6/4","Busan",882,0,136,0
"301","Busan","2020/6/5","Busan",882,0,137,0
"302","Busan","2020/6/6","Busan",882,0,138,0
"303","Busan","2020/6/7","Busan",882,0,139,0
"304","Busan","2020/6/8","Busan",882,0,140,0
"305","Busan","2020/6/9","Busan",882,0,141,0
"306","Busan","2020/6/10","Busan",882,0,142,0
"307","Busan","2020/6/11","Busan",882,0,143,0
"308","Busan","2020/6/12","Busan",882,0,144,0
"309","Busan","2020/6/13","Busan",882,0,145,0
