"","eng","date","daily_cases","add"
"1","Aberdeen City","2020/3/14",7,NA
"2","Aberdeen City","2020/3/15",7,0
"3","Aberdeen City","2020/3/16",7,0
"4","Aberdeen City","2020/3/17",9,2
"5","Aberdeen City","2020/3/18",11,2
"6","Aberdeen City","2020/3/19",11,0
"7","Aberdeen City","2020/3/20",11,0
"8","Aberdeen City","2020/3/21",11,0
"9","Aberdeen City","2020/3/22",11,0
"10","Aberdeen City","2020/3/23",14,3
"11","Aberdeen City","2020/3/24",18,4
"12","Aberdeen City","2020/3/25",19,1
"13","Aberdeen City","2020/3/26",24,5
"14","Aberdeen City","2020/3/27",27,3
"15","Aberdeen City","2020/3/28",29,2
"16","Aberdeen City","2020/3/29",37,8
"17","Aberdeen City","2020/3/30",46,9
"18","Aberdeen City","2020/3/31",60,14
"19","Aberdeen City","2020/4/1",83,23
"20","Aberdeen City","2020/4/2",89,6
"21","Aberdeen City","2020/4/3",97,8
"22","Aberdeen City","2020/4/4",104,7
"23","Aberdeen City","2020/4/5",108,4
"24","Aberdeen City","2020/4/6",111,3
"25","Aberdeen City","2020/4/7",119,8
"26","Aberdeen City","2020/4/8",122,3
"27","Aberdeen City","2020/4/9",125,3
"28","Aberdeen City","2020/4/10",134,9
"29","Aberdeen City","2020/4/11",143,9
"30","Aberdeen City","2020/4/12",149,6
"31","Aberdeen City","2020/4/13",157,8
"32","Aberdeen City","2020/4/14",181,24
"33","Aberdeen City","2020/4/15",187,6
"34","Aberdeen City","2020/4/16",197,10
"35","Aberdeen City","2020/4/17",213,16
"36","Aberdeen City","2020/4/18",229,16
"37","Aberdeen City","2020/4/19",240,11
"38","Aberdeen City","2020/4/20",274,34
"39","Aberdeen City","2020/4/21",311,37
"40","Aberdeen City","2020/4/22",329,18
"41","Aberdeen City","2020/4/23",359,30
"42","Aberdeen City","2020/4/24",387,28
"43","Aberdeen City","2020/4/25",405,18
"44","Aberdeen City","2020/4/26",419,14
"45","Aberdeen City","2020/4/27",454,35
"46","Aberdeen City","2020/4/28",472,18
"47","Aberdeen City","2020/4/29",489,17
"48","Aberdeen City","2020/4/30",506,17
"49","Aberdeen City","2020/5/1",523,17
"50","Aberdeen City","2020/5/2",537,14
"51","Aberdeen City","2020/5/3",544,7
"52","Aberdeen City","2020/5/4",555,11
"53","Aberdeen City","2020/5/5",565,10
"54","Aberdeen City","2020/5/6",588,23
"55","Aberdeen City","2020/5/7",603,15
"56","Aberdeen City","2020/5/8",623,20
"57","Aberdeen City","2020/5/9",640,17
"58","Aberdeen City","2020/5/10",652,12
"59","Aberdeen City","2020/5/11",676,24
"60","Aberdeen City","2020/5/12",688,12
"61","Aberdeen City","2020/5/13",697,9
"62","Aberdeen City","2020/5/14",711,14
"63","Aberdeen City","2020/5/15",724,13
"64","Aberdeen City","2020/5/16",728,4
"65","Aberdeen City","2020/5/17",731,3
"66","Aberdeen City","2020/5/18",744,13
"67","Aberdeen City","2020/5/19",757,13
"68","Aberdeen City","2020/5/20",762,5
"69","Aberdeen City","2020/5/21",765,3
"70","Aberdeen City","2020/5/22",772,7
"71","Aberdeen City","2020/5/23",778,6
"72","Aberdeen City","2020/5/24",782,4
"73","Aberdeen City","2020/5/25",785,3
"74","Aberdeen City","2020/5/26",788,3
"75","Aberdeen City","2020/5/27",795,7
"76","Aberdeen City","2020/5/28",795,0
"77","Aberdeen City","2020/5/29",796,1
"78","Aberdeen City","2020/5/30",801,5
"79","Aberdeen City","2020/5/31",803,2
"80","Aberdeen City","2020/6/1",804,1
"81","Aberdeen City","2020/6/2",808,4
"82","Aberdeen City","2020/6/3",809,1
"83","Aberdeen City","2020/6/4",809,0
"84","Aberdeen City","2020/6/5",810,1
"85","Aberdeen City","2020/6/6",810,0
"86","Aberdeen City","2020/6/7",810,0
"87","Aberdeen City","2020/6/8",811,1
"88","Aberdeen City","2020/6/9",811,0
"89","Aberdeen City","2020/6/10",811,0
"90","Aberdeen City","2020/6/11",811,0
"91","Aberdeen City","2020/6/12",811,0
"92","Aberdeen City","2020/6/13",814,3
"93","Aberdeen City","2020/6/14",814,0
"94","Aberdeen City","2020/6/15",817,3
"95","Aberdeen City","2020/6/16",817,0
"96","Aberdeen City","2020/6/17",817,0
"97","Aberdeen City","2020/6/18",818,1
"98","Aberdeen City","2020/6/19",818,0
"99","Aberdeen City","2020/6/20",818,0
"100","Aberdeen City","2020/6/21",818,0
"101","Aberdeen City","2020/6/22",818,0
"102","Aberdeen City","2020/6/23",819,1
"103","Aberdeen City","2020/6/24",819,0
"104","Aberdeen City","2020/6/25",819,0
"105","Aberdeen City","2020/6/26",820,1
"106","Aberdeen City","2020/6/27",820,0
"107","Aberdeen City","2020/6/28",820,0
"108","Aberdeen City","2020/6/29",822,2
"109","Aberdeen City","2020/6/30",823,1
"110","Aberdeen City","2020/7/1",823,0
"111","Aberdeen City","2020/7/2",823,0
"112","Aberdeen City","2020/7/3",823,0
"113","Aberdeen City","2020/7/4",823,0
"114","Aberdeen City","2020/7/5",823,0
"115","Aberdeen City","2020/7/6",823,0
"116","Aberdeen City","2020/7/7",823,0
"117","Aberdeen City","2020/7/8",824,1
"118","Aberdeen City","2020/7/9",824,0
"119","Aberdeen City","2020/7/10",825,1
"120","Aberdeen City","2020/7/11",826,1
"121","Aberdeen City","2020/7/12",826,0
"122","Aberdeen City","2020/7/13",826,0
"123","Aberdeen City","2020/7/14",826,0
"124","Aberdeen City","2020/7/15",828,2
"125","Aberdeen City","2020/7/16",830,2
"126","Aberdeen City","2020/7/17",830,0
"127","Aberdeen City","2020/7/18",830,0
"128","Aberdeen City","2020/7/19",830,0
"129","Aberdeen City","2020/7/20",830,0
"130","Aberdeen City","2020/7/21",830,0
"131","Aberdeen City","2020/7/22",830,0
"132","Aberdeen City","2020/7/23",831,1
"133","Aberdeen City","2020/7/24",831,0
"134","Aberdeen City","2020/7/25",831,0
"135","Aberdeen City","2020/7/26",831,0
